#Operator Name: 
#Experimental Name: 
#SampleDescription: 
#Measurement No.: 19
#Excitation Wavelength: 532.08 nm
#Laser Current: 100 %
#Excitation Power: 2.81 mW
#Excitation Power Density: 2.1E+03 W/cm2
#ND Filter: 5.72 % (155/255)
#Spectrograph Center Wavelength: 710.00 cm-1
#Grating: 1200 gr/mm
#Slit width: 50 um
#Exposure Time: 5 s
#Averaging: 8
#Readout speed: 2MHz
#Gain: High
#Readout port: Low Noise
#CCD temperature: -70
#Optical Line Shaping mode: ON
#Objective Lens: TU Plan Fluor 50x/ NA 0.80
#Measurement Mode: XY Averaging (AreaFlash)
#X axis (wavenumber): Not Calibrated
#Wavenumber Shift compensation (cm-1): -0.8186236055991
#XY Stage Position: (18780.9,1457.0,-9.0)
#--------------------------------------
#

wn(9/28/2023 2:27:15 PM Index:19)	9/28/2023 2:27:15 PM Index:19	wn(9/28/2023 2:26:33 PM Index:18)	9/28/2023 2:26:33 PM Index:18	wn(9/28/2023 2:25:51 PM Index:17)	9/28/2023 2:25:51 PM Index:17	wn(9/28/2023 2:25:09 PM Index:16)	9/28/2023 2:25:09 PM Index:16	wn(9/28/2023 2:24:27 PM Index:15)	9/28/2023 2:24:27 PM Index:15	wn(9/28/2023 2:23:46 PM Index:14)	9/28/2023 2:23:46 PM Index:14	wn(9/28/2023 2:22:22 PM Index:12)	9/28/2023 2:22:22 PM Index:12	wn(9/28/2023 2:21:40 PM Index:11)	9/28/2023 2:21:40 PM Index:11	wn(9/28/2023 2:20:16 PM Index:9)	9/28/2023 2:20:16 PM Index:9	wn(9/28/2023 2:19:34 PM Index:8)	9/28/2023 2:19:34 PM Index:8	wn(9/28/2023 2:18:52 PM Index:7)	9/28/2023 2:18:52 PM Index:7	wn(9/28/2023 2:18:10 PM Index:6)	9/28/2023 2:18:10 PM Index:6	wn(9/28/2023 2:17:28 PM Index:5)	9/28/2023 2:17:28 PM Index:5	wn(9/28/2023 2:16:47 PM Index:4)	9/28/2023 2:16:47 PM Index:4	wn(9/28/2023 2:15:23 PM Index:2)	9/28/2023 2:15:23 PM Index:2	wn(9/28/2023 2:14:41 PM Index:1)	9/28/2023 2:14:41 PM Index:1	
96.4938294277345	0.172610274292699	96.4938294277345	0.173607228524537	96.4938294277345	0.178098353622567	96.4938294277345	0.17998593388928	96.4938294277345	0.173415081448452	96.4938294277345	0.181877562869688	96.4938294277345	0.176895242189739	96.4938294277345	0.175364163484656	96.4938294277345	0.181182795698925	96.4938294277345	0.17384493499946	96.4938294277345	0.18120130686102	96.4938294277345	0.185002484860756	96.4938294277345	0.177917339770933	96.4938294277345	0.178395737808387	96.4938294277345	0.176025665540612	96.4938294277345	0.175097204900594
97.4397353593849	0.190998310385735	97.4397353593849	0.185925298032355	97.4397353593849	0.19459787990919	97.4397353593849	0.194875916809002	97.4397353593849	0.191071235930814	97.4397353593849	0.193743876329063	97.4397353593849	0.188306104901118	97.4397353593849	0.189304402287007	97.4397353593849	0.197638248847926	97.4397353593849	0.19901688933703	97.4397353593849	0.193749326822963	97.4397353593849	0.196598501720996	97.4397353593849	0.193091681338827	97.4397353593849	0.189719504724424	97.4397353593849	0.184078016444643	97.4397353593849	0.185771403418678
98.3835586949244	0.190477046410468	98.3835586949244	0.194816671776652	98.3835586949244	0.199209881839795	98.3835586949244	0.197648950065307	98.3835586949244	0.194253658887411	98.3835586949244	0.195231701564031	98.3835586949244	0.194289194611637	98.3835586949244	0.19231468573853	98.3835586949244	0.198406298003072	98.3835586949244	0.199358997443192	98.3835586949244	0.199601479194342	98.3835586949244	0.200500653426347	98.3835586949244	0.198101392191385	98.3835586949244	0.195270006868514	98.3835586949244	0.192619032443113	98.3835586949244	0.191053481035874
99.3272867464439	0.189128949922709	99.3272867464439	0.183869280574242	99.3272867464439	0.189092079154824	99.3272867464439	0.193891289058575	99.3272867464439	0.187421338415621	99.3272867464439	0.187847008019741	99.3272867464439	0.194539982803095	99.3272867464439	0.187849768672849	99.3272867464439	0.197964669738863	99.3272867464439	0.196730166732688	99.3272867464439	0.195688076688328	99.3272867464439	0.195125991643505	99.3272867464439	0.198192147822772	99.3272867464439	0.197441942490115	99.3272867464439	0.188072322433977	99.3272867464439	0.18578974396596
100.270919528368	0.182046949707014	100.270919528368	0.183706963406496	100.270919528368	0.18462308503602	100.270919528368	0.188204561438762	100.270919528368	0.179222553849473	100.270919528368	0.185034655441449	100.270919528368	0.182090140441387	100.270919528368	0.178293633957614	100.270919528368	0.186578341013825	100.270919528368	0.191760596348446	100.270919528368	0.191972139446379	100.270919528368	0.18872057280642	100.270919528368	0.188898771168751	100.270919528368	0.184261820341941	100.270919528368	0.175621985679988	100.270919528368	0.184707651676326
101.214457055128	0.182586188302117	101.214457055128	0.183418399552726	101.214457055128	0.181762928799986	101.214457055128	0.184225861549282	101.214457055128	0.183178107806825	101.214457055128	0.191348840584969	101.214457055128	0.181713958154199	101.214457055128	0.188455866012082	101.214457055128	0.191628264208909	101.214457055128	0.183207893694407	101.214457055128	0.18944099378882	101.214457055128	0.190800493290876	101.214457055128	0.186194253353421	101.214457055128	0.182980935231766	101.214457055128	0.179701276903138	101.214457055128	0.183919008143203
102.157899341139	0.184994787360247	102.157899341139	0.185618698937724	102.157899341139	0.187375985413203	102.157899341139	0.189691550286346	102.157899341139	0.187223560717753	102.157899341139	0.19149399426643	102.157899341139	0.188664373746059	102.157899341139	0.186253712346203	102.157899341139	0.190802611367128	102.157899341139	0.184720371637437	102.157899341139	0.192833806053208	102.157899341139	0.188370851663016	102.157899341139	0.190949848438096	102.157899341139	0.181829994987841	102.157899341139	0.183483119807933	102.157899341139	0.183405472819309
103.103232294197	0.194503361253909	103.103232294197	0.192742619077678	103.103232294197	0.193418065461826	103.103232294197	0.189189189189189	103.103232294197	0.193246790607357	103.103232294197	0.197427150996117	103.103232294197	0.189380911435942	103.103232294197	0.189365012020931	103.103232294197	0.193356374807988	103.103232294197	0.195829882242789	103.103232294197	0.194539187879223	103.103232294197	0.19654328259309	103.103232294197	0.190423465776051	103.103232294197	0.188772763556034	103.103232294197	0.185055346633522	103.103232294197	0.191915486758125
104.046483941547	0.200758528957113	104.046483941547	0.206593684058651	104.046483941547	0.209720956007222	104.046483941547	0.212358082990053	104.046483941547	0.206929411341652	104.046483941547	0.202053924592662	104.046483941547	0.20817211235311	104.046483941547	0.206335737519446	104.046483941547	0.205088325652842	104.046483941547	0.204202527998848	104.046483941547	0.206279395397264	104.046483941547	0.211875793774964	104.046483941547	0.205125878060734	104.046483941547	0.204997308284913	104.046483941547	0.204007053774407	104.046483941547	0.19472159049226
104.989640391432	0.219398209727864	104.989640391432	0.226486554727938	104.989640391432	0.225773582881965	104.989640391432	0.230141665829398	104.989640391432	0.224423747707577	104.989640391432	0.224498312588453	104.989640391432	0.225189882487819	104.989640391432	0.226579388649817	104.989640391432	0.227361751152074	104.989640391432	0.223990781086823	104.989640391432	0.228718629950095	104.989640391432	0.226269579782437	104.989640391432	0.224765396692865	104.989640391432	0.219439751990941	104.989640391432	0.218751991841418	104.989640391432	0.215776538771917
