2theta,intensity,,,,
23.32,18.5417,,,,
23.4,17.0833,,,,
23.48,18.8542,,,,
23.56,18.8542,,,,
23.64,20.5208,,,,
23.72,18.0208,,,,
23.8,17.2917,,,,
23.88,17.7083,,,,
23.96,19.0625,,,,
24.04,18.6458,,,,
24.12,16.9792,,,,
24.2,18.4375,,,,
24.28,20.2083,,,,
24.36,19.0625,,,,
24.44,19.8958,,,,
24.52,20.8333,,,,
24.6,19.1667,,,,
24.68,20.4167,,,,
24.76,24.1667,,,,
24.84,23.5417,,,,
24.92,23.9583,,,,
25,25.3125,,,,
25.08,25.4167,,,,
25.16,28.75,,,,
25.24,27.5,,,,
25.32,27.3958,,,,
25.4,33.3333,,,,
25.48,28.125,,,,
25.56,37.3958,,,,
25.64,33.6458,,,,
25.72,28.6458,,,,
25.8,31.5625,,,,
25.88,32.9167,,,,
25.96,32.1875,,,,
26.04,36.4583,,,,
26.12,31.875,,,,
26.2,30.625,,,,
26.28,30.7292,,,,
26.36,27.9167,,,,
26.44,30.2083,,,,
26.52,30.7292,,,,
26.6,31.9792,,,,
26.68,28.0208,,,,
26.76,30.9375,,,,
26.84,31.3542,,,,
26.92,31.7708,,,,
27,32.9167,,,,
27.08,31.25,,,,
27.16,34.1667,,,,
27.24,39.1667,,,,
27.32,42.1875,,,,
27.4,41.1458,,,,
27.48,49.4792,,,,
27.56,45.625,,,,
27.64,50.5208,,,,
27.72,61.9792,,,,
27.8,64.4792,,,,
27.88,67.1875,,,,
27.96,73.8542,,,,
28.04,85.1042,,,,
28.12,98.4375,,,,
28.2,103.542,,,,
28.28,109.583,,,,
28.36,123.021,,,,
28.44,128.125,,,,
28.52,141.146,,,,
28.6,150.625,,,,
28.68,150.625,,,,
28.76,152.292,,,,
28.84,158.021,,,,
28.92,157.813,,,,
29,158.229,,,,
29.08,152.708,,,,
29.16,143.646,,,,
29.24,134.375,,,,
29.32,118.021,,,,
29.4,117.396,,,,
29.48,101.25,,,,
29.56,95,,,,
29.64,82.7083,,,,
29.72,74.8958,,,,
29.8,64.5833,,,,
29.88,60.625,,,,
29.96,57.3958,,,,
30.04,51.4583,,,,
30.12,41.6667,,,,
30.2,38.6458,,,,
30.28,37.8125,,,,
30.36,33.4375,,,,
30.44,30.2083,,,,
30.52,29.5833,,,,
30.6,24.1667,,,,
30.68,26.7708,,,,
30.76,24.1667,,,,
30.84,27.6042,,,,
30.92,22.0833,,,,
31,23.75,,,,
31.08,20.4167,,,,
31.16,19.8958,,,,
31.24,18.125,,,,
31.32,19.375,,,,
31.4,14.6875,,,,
31.48,19.4792,,,,
31.56,16.6667,,,,
31.64,17.5,,,,
31.72,16.5625,,,,
31.8,15.625,,,,
31.88,16.1458,,,,
31.96,16.4583,,,,
32.04,13.5417,,,,
32.12,14.1667,,,,
32.2,15.625,,,,
32.28,14.8958,,,,
32.36,18.6458,,,,
32.44,16.3542,,,,
32.52,15.4167,,,,
32.6,15.4167,,,,
32.68,19.1667,,,,
32.76,16.0417,,,,
32.84,16.6667,,,,
32.92,17.5,,,,
33,16.4583,,,,
33.08,16.6667,,,,
33.16,16.4583,,,,
33.24,15.5208,,,,
33.32,14.2708,,,,
33.4,12.5,,,,
33.48,14.1667,,,,
33.56,13.5417,,,,
33.64,15.7292,,,,
33.72,13.9583,,,,
33.8,16.5625,,,,
33.88,14.8958,,,,
33.96,14.6875,,,,
34.04,15.8333,,,,
34.12,15.7292,,,,
34.2,16.5625,,,,
34.28,16.25,,,,
34.36,17.3958,,,,
34.44,19.375,,,,
34.52,16.4583,,,,
34.6,17.6042,,,,
34.68,21.1458,,,,
34.76,19.2708,,,,
34.84,19.6875,,,,
34.92,19.2708,,,,
35,21.0417,,,,
35.08,22.6042,,,,
35.16,21.6667,,,,
35.24,24.7917,,,,
35.32,26.0417,,,,
35.4,23.2292,,,,
35.48,23.75,,,,
35.56,27.0833,,,,
35.64,30.2083,,,,
35.72,34.0625,,,,
35.8,35.4167,,,,
35.88,41.6667,,,,
35.96,42.3958,,,,
36.04,42.3958,,,,
36.12,44.5833,,,,
36.2,45,,,,
36.28,55.7292,,,,
36.36,54.6875,,,,
36.44,62.8125,,,,
36.52,64.0625,,,,
36.6,67.9167,,,,
36.68,73.125,,,,
36.76,81.1458,,,,
36.84,82.7083,,,,
36.92,87.8125,,,,
37,101.563,,,,
37.08,112.5,,,,
37.16,122.396,,,,
37.24,143.438,,,,
37.32,175.938,,,,
37.4,192.396,,,,
37.48,223.542,,,,
37.56,255.313,,,,
37.64,272.813,,,,
37.72,272.292,,,,
37.8,266.563,,,,
37.88,246.979,,,,
37.96,222.5,,,,
38.04,191.563,,,,
38.12,161.563,,,,
38.2,129.271,,,,
38.28,108.542,,,,
38.36,91.25,,,,
38.44,79.7917,,,,
38.52,70.3125,,,,
38.6,64.6875,,,,
38.68,54.0625,,,,
38.76,55.8333,,,,
38.84,53.0208,,,,
38.92,47.7083,,,,
39,49.0625,,,,
39.08,50.1042,,,,
39.16,40.9375,,,,
39.24,40.7292,,,,
39.32,36.875,,,,
39.4,35.9375,,,,
39.48,36.4583,,,,
39.56,37.0833,,,,
39.64,29.375,,,,
39.72,30.7292,,,,
39.8,27.2917,,,,
39.88,32.3958,,,,
39.96,25.9375,,,,
40.04,29.8958,,,,
40.12,25.1042,,,,
40.2,26.1458,,,,
40.28,28.6458,,,,
40.36,27.7083,,,,
40.44,29.2708,,,,
40.52,28.75,,,,
40.6,29.4792,,,,
40.68,33.4375,,,,
40.76,36.0417,,,,
40.84,35.3125,,,,
40.92,37.1875,,,,
41,40.5208,,,,
41.08,44.0625,,,,
41.16,41.6667,,,,
41.24,45.5208,,,,
41.32,48.6458,,,,
41.4,53.4375,,,,
41.48,55.8333,,,,
41.56,62.3958,,,,
41.64,69.0625,,,,
41.72,74.4792,,,,
41.8,83.6458,,,,
41.88,87.3958,,,,
41.96,95.3125,,,,
42.04,101.771,,,,
42.12,100.938,,,,
42.2,99.7917,,,,
42.28,92.9167,,,,
42.36,85,,,,
42.44,78.2292,,,,
42.52,67.2917,,,,
42.6,62.2917,,,,
42.68,49.1667,,,,
42.76,45.1042,,,,
42.84,37.3958,,,,
42.92,35,,,,
43,30.8333,,,,
43.08,29.0625,,,,
43.16,25.5208,,,,
43.24,21.25,,,,
43.32,19.8958,,,,
43.4,18.4375,,,,
43.48,20.8333,,,,
43.56,15.7292,,,,
43.64,17.9167,,,,
43.72,15.3125,,,,
43.8,18.2292,,,,
43.88,16.875,,,,
43.96,13.9583,,,,
44.04,13.3333,,,,
44.12,13.8542,,,,
44.2,12.0833,,,,
44.28,13.6458,,,,
44.36,13.9583,,,,
44.44,11.7708,,,,
44.52,11.4583,,,,
44.6,14.5833,,,,
44.68,13.2292,,,,
44.76,11.5625,,,,
44.84,12.3958,,,,
44.92,13.4375,,,,
45,13.4375,,,,
45.08,12.1875,,,,
45.16,16.7708,,,,
45.24,14.4792,,,,
45.32,17.7083,,,,
45.4,14.5833,,,,
45.48,15.5208,,,,
45.56,15.1042,,,,
45.64,15.625,,,,
45.72,15.625,,,,
45.8,15.4167,,,,
45.88,17.9167,,,,
45.96,19.5833,,,,
46.04,19.2708,,,,
46.12,22.8125,,,,
46.2,19.4792,,,,
46.28,22.2917,,,,
46.36,19.5833,,,,
46.44,21.9792,,,,
46.52,20.9375,,,,
46.6,21.0417,,,,
46.68,22.9167,,,,
46.76,22.0833,,,,
46.84,22.2917,,,,
46.92,25.9375,,,,
47,21.25,,,,
47.08,27.0833,,,,
47.16,28.75,,,,
47.24,23.9583,,,,
47.32,24.4792,,,,
47.4,28.3333,,,,
47.48,26.3542,,,,
47.56,25.2083,,,,
47.64,23.0208,,,,
47.72,22.8125,,,,
47.8,21.3542,,,,
47.88,22.3958,,,,
47.96,22.3958,,,,
48.04,22.7083,,,,
48.12,23.125,,,,
48.2,19.1667,,,,
48.28,22.1875,,,,
48.36,21.9792,,,,
48.44,23.125,,,,
48.52,25.7292,,,,
48.6,25.4167,,,,
48.68,26.25,,,,
48.76,25.4167,,,,
48.84,27.2917,,,,
48.92,28.5417,,,,
49,34.375,,,,
49.08,40.3125,,,,
49.16,42.1875,,,,
49.24,50.8333,,,,
49.32,52.3958,,,,
49.4,59.8958,,,,
49.48,68.4375,,,,
49.56,72.5,,,,
49.64,81.25,,,,
49.72,85.7292,,,,
49.8,90,,,,
49.88,100.833,,,,
49.96,97.2917,,,,
50.04,95.1042,,,,
50.12,102.188,,,,
50.2,104.167,,,,
50.28,95.9375,,,,
50.36,89.2708,,,,
50.44,84.8958,,,,
50.52,77.2917,,,,
50.6,68.2292,,,,
50.68,67.1875,,,,
50.76,57.3958,,,,
50.84,51.0417,,,,
50.92,44.8958,,,,
51,42.2917,,,,
51.08,39.5833,,,,
51.16,29.7917,,,,
51.24,29.8958,,,,
51.32,27.3958,,,,
51.4,25.3125,,,,
51.48,24.6875,,,,
51.56,25.1042,,,,
51.64,21.7708,,,,
51.72,19.2708,,,,
51.8,23.125,,,,
51.88,18.75,,,,
51.96,20.625,,,,
52.04,19.2708,,,,
52.12,20.9375,,,,
52.2,17.7083,,,,
52.28,19.4792,,,,
52.36,20.4167,,,,
52.44,17.5,,,,
52.52,15.8333,,,,
52.6,18.75,,,,
52.68,18.75,,,,
52.76,17.3958,,,,
52.84,15.8333,,,,
52.92,18.75,,,,
53,16.7708,,,,
53.08,16.3542,,,,
53.16,14.4792,,,,
53.24,16.1458,,,,
53.32,16.9792,,,,
53.4,18.125,,,,
53.48,14.0625,,,,
53.56,14.1667,,,,
53.64,16.9792,,,,
