2theta,intensity,,,,
14.92,202.083,,,,
14.96,175,,,,
15,187.5,,,,
15.04,197.917,,,,
15.08,162.5,,,,
15.12,145.833,,,,
15.16,181.25,,,,
15.2,189.583,,,,
15.24,200,,,,
15.28,197.917,,,,
15.32,189.583,,,,
15.36,162.5,,,,
15.4,183.333,,,,
15.44,214.583,,,,
15.48,202.083,,,,
15.52,170.833,,,,
15.56,200,,,,
15.6,156.25,,,,
15.64,152.083,,,,
15.68,166.667,,,,
15.72,195.833,,,,
15.76,158.333,,,,
15.8,177.083,,,,
15.84,204.167,,,,
15.88,216.667,,,,
15.92,179.167,,,,
15.96,181.25,,,,
16,191.667,,,,
16.04,195.833,,,,
16.08,181.25,,,,
16.12,202.083,,,,
16.16,193.75,,,,
16.2,185.417,,,,
16.24,179.167,,,,
16.28,166.667,,,,
16.32,220.833,,,,
16.36,158.333,,,,
16.4,152.083,,,,
16.44,187.5,,,,
16.48,181.25,,,,
16.52,222.917,,,,
16.56,183.333,,,,
16.6,195.833,,,,
16.64,200,,,,
16.68,206.25,,,,
16.72,208.333,,,,
16.76,241.667,,,,
16.8,166.667,,,,
16.84,181.25,,,,
16.88,220.833,,,,
16.92,193.75,,,,
16.96,202.083,,,,
17,183.333,,,,
17.04,214.583,,,,
17.08,202.083,,,,
17.12,231.25,,,,
17.16,210.417,,,,
17.2,237.5,,,,
17.24,187.5,,,,
17.28,202.083,,,,
17.32,229.167,,,,
17.36,260.417,,,,
17.4,214.583,,,,
17.44,243.75,,,,
17.48,227.083,,,,
17.52,245.833,,,,
17.56,266.667,,,,
17.6,252.083,,,,
17.64,200,,,,
17.68,218.75,,,,
17.72,233.333,,,,
17.76,264.583,,,,
17.8,229.167,,,,
17.84,260.417,,,,
17.88,231.25,,,,
17.92,191.667,,,,
17.96,277.083,,,,
18,233.333,,,,
18.04,250,,,,
18.08,264.583,,,,
18.12,222.917,,,,
18.16,243.75,,,,
18.2,252.083,,,,
18.24,252.083,,,,
18.28,237.5,,,,
18.32,254.167,,,,
18.36,260.417,,,,
18.4,270.833,,,,
18.44,204.167,,,,
18.48,254.167,,,,
18.52,270.833,,,,
18.56,243.75,,,,
18.6,268.75,,,,
18.64,277.083,,,,
18.68,254.167,,,,
18.72,300,,,,
18.76,285.417,,,,
18.8,250,,,,
18.84,252.083,,,,
18.88,264.583,,,,
18.92,264.583,,,,
18.96,295.833,,,,
19,291.667,,,,
19.04,300,,,,
19.08,285.417,,,,
19.12,295.833,,,,
19.16,272.917,,,,
19.2,281.25,,,,
19.24,268.75,,,,
19.28,291.667,,,,
19.32,283.333,,,,
19.36,312.5,,,,
19.4,293.75,,,,
19.44,335.417,,,,
19.48,358.333,,,,
19.52,337.5,,,,
19.56,304.167,,,,
19.6,345.833,,,,
19.64,350,,,,
19.68,293.75,,,,
19.72,304.167,,,,
19.76,300,,,,
19.8,335.417,,,,
19.84,345.833,,,,
19.88,354.167,,,,
19.92,297.917,,,,
19.96,356.25,,,,
20,368.75,,,,
20.04,322.917,,,,
20.08,308.333,,,,
20.12,379.167,,,,
20.16,347.917,,,,
20.2,331.25,,,,
20.24,393.75,,,,
20.28,381.25,,,,
20.32,343.75,,,,
20.36,410.417,,,,
20.4,385.417,,,,
20.44,343.75,,,,
20.48,377.083,,,,
20.52,387.5,,,,
20.56,356.25,,,,
20.6,397.917,,,,
20.64,406.25,,,,
20.68,389.583,,,,
20.72,372.917,,,,
20.76,379.167,,,,
20.8,364.583,,,,
20.84,395.833,,,,
20.88,420.833,,,,
20.92,429.167,,,,
20.96,406.25,,,,
21,466.667,,,,
21.04,402.083,,,,
21.08,420.833,,,,
21.12,366.667,,,,
21.16,427.083,,,,
21.2,414.583,,,,
21.24,366.667,,,,
21.28,381.25,,,,
21.32,450,,,,
