2theta,intensity,,,,
14.84,183.333,,,,
14.88,160.833,,,,
14.92,163.75,,,,
14.96,168.333,,,,
15,160.833,,,,
15.04,172.083,,,,
15.08,179.583,,,,
15.12,185.417,,,,
15.16,167.5,,,,
15.2,184.583,,,,
15.24,159.583,,,,
15.28,182.917,,,,
15.32,171.667,,,,
15.36,182.5,,,,
15.4,180,,,,
15.44,163.333,,,,
15.48,181.25,,,,
15.52,176.667,,,,
15.56,184.583,,,,
15.6,181.25,,,,
15.64,176.25,,,,
15.68,172.917,,,,
15.72,187.083,,,,
15.76,184.167,,,,
15.8,209.583,,,,
15.84,195,,,,
15.88,192.083,,,,
15.92,175,,,,
15.96,188.333,,,,
16,173.333,,,,
16.04,202.5,,,,
16.08,182.917,,,,
16.12,217.083,,,,
16.16,185.833,,,,
16.2,205.833,,,,
16.24,192.083,,,,
16.28,188.333,,,,
16.32,195.833,,,,
16.36,207.917,,,,
16.4,190,,,,
16.44,198.75,,,,
16.48,208.75,,,,
16.52,219.167,,,,
16.56,204.583,,,,
16.6,210,,,,
16.64,196.667,,,,
16.68,206.25,,,,
16.72,216.667,,,,
16.76,220,,,,
16.8,205.417,,,,
16.84,199.583,,,,
16.88,194.167,,,,
16.92,215,,,,
16.96,217.5,,,,
17,213.75,,,,
17.04,228.333,,,,
17.08,205.417,,,,
17.12,222.083,,,,
17.16,229.583,,,,
17.2,215.833,,,,
17.24,219.167,,,,
17.28,230,,,,
17.32,213.333,,,,
17.36,218.333,,,,
17.4,232.5,,,,
17.44,230.833,,,,
17.48,224.167,,,,
17.52,235,,,,
17.56,230.417,,,,
17.6,226.667,,,,
17.64,235,,,,
17.68,251.667,,,,
17.72,232.917,,,,
17.76,241.25,,,,
17.8,246.667,,,,
17.84,247.083,,,,
17.88,242.083,,,,
17.92,252.083,,,,
17.96,249.167,,,,
18,245,,,,
18.04,247.083,,,,
18.08,251.25,,,,
18.12,262.917,,,,
18.16,270,,,,
18.2,246.667,,,,
18.24,249.167,,,,
18.28,256.25,,,,
18.32,277.083,,,,
18.36,269.167,,,,
18.4,264.583,,,,
18.44,262.5,,,,
18.48,264.167,,,,
18.52,281.25,,,,
18.56,250.417,,,,
18.6,288.75,,,,
18.64,281.25,,,,
18.68,283.333,,,,
18.72,272.917,,,,
18.76,269.167,,,,
18.8,273.333,,,,
18.84,291.667,,,,
18.88,279.583,,,,
18.92,288.75,,,,
18.96,312.917,,,,
19,303.75,,,,
19.04,307.083,,,,
19.08,289.583,,,,
19.12,296.667,,,,
19.16,307.917,,,,
19.2,310.417,,,,
19.24,302.5,,,,
19.28,313.333,,,,
19.32,288.333,,,,
19.36,296.25,,,,
19.4,328.333,,,,
19.44,311.25,,,,
19.48,295,,,,
19.52,311.667,,,,
19.56,339.583,,,,
19.6,337.917,,,,
19.64,323.75,,,,
19.68,320,,,,
19.72,346.25,,,,
19.76,317.5,,,,
19.8,318.333,,,,
19.84,327.917,,,,
19.88,356.667,,,,
19.92,353.75,,,,
19.96,343.75,,,,
20,347.083,,,,
20.04,336.667,,,,
20.08,346.25,,,,
20.12,358.75,,,,
20.16,368.333,,,,
20.2,368.333,,,,
20.24,386.667,,,,
20.28,360.417,,,,
20.32,373.333,,,,
20.36,361.25,,,,
20.4,374.167,,,,
20.44,390.417,,,,
20.48,400.417,,,,
20.52,387.083,,,,
20.56,382.5,,,,
20.6,370,,,,
20.64,390.417,,,,
20.68,396.25,,,,
20.72,380.417,,,,
20.76,381.667,,,,
20.8,394.167,,,,
20.84,381.667,,,,
20.88,406.25,,,,
20.92,399.167,,,,
20.96,390,,,,
21,404.167,,,,
21.04,402.917,,,,
21.08,402.083,,,,
21.12,410,,,,
21.16,437.917,,,,
21.2,412.5,,,,
21.24,402.083,,,,
21.28,415.833,,,,
21.32,420.833,,,,
21.36,420.833,,,,
21.4,413.75,,,,
21.44,417.083,,,,
21.48,425.833,,,,
21.52,437.917,,,,
21.56,442.083,,,,
21.6,447.5,,,,
21.64,429.583,,,,
21.68,405.833,,,,
21.72,471.667,,,,
21.76,424.583,,,,
21.8,440.833,,,,
21.84,427.5,,,,
21.88,444.583,,,,
21.92,439.583,,,,
21.96,452.083,,,,
22,443.75,,,,
22.04,451.667,,,,
22.08,458.75,,,,
22.12,434.167,,,,
22.16,450.417,,,,
22.2,456.25,,,,
22.24,433.75,,,,
22.28,474.167,,,,
22.32,465,,,,
22.36,443.333,,,,
22.4,465,,,,
22.44,449.167,,,,
22.48,469.167,,,,
22.52,445.833,,,,
22.56,467.917,,,,
22.6,488.75,,,,
22.64,498.75,,,,
22.68,475.833,,,,
22.72,470,,,,
22.76,480,,,,
22.8,477.083,,,,
22.84,470,,,,
22.88,470,,,,
22.92,459.583,,,,
22.96,495,,,,
23,473.333,,,,
23.04,484.167,,,,
23.08,460,,,,
23.12,479.167,,,,
23.16,490.417,,,,
23.2,456.667,,,,
23.24,475,,,,
23.28,492.5,,,,
23.32,472.917,,,,
23.36,480.833,,,,
23.4,499.583,,,,
23.44,477.5,,,,
23.48,459.583,,,,
23.52,472.917,,,,
23.56,490.833,,,,
23.6,489.583,,,,
23.64,485.417,,,,
23.68,494.583,,,,
23.72,452.917,,,,
23.76,487.917,,,,
23.8,454.583,,,,
23.84,469.583,,,,
23.88,494.583,,,,
23.92,465.417,,,,
23.96,486.25,,,,
24,497.917,,,,
24.04,483.75,,,,
24.08,490.417,,,,
24.12,528.333,,,,
24.16,485.833,,,,
24.2,474.583,,,,
24.24,495,,,,
24.28,494.167,,,,
24.32,530,,,,
24.36,516.25,,,,
24.4,553.333,,,,
24.44,518.333,,,,
24.48,564.583,,,,
24.52,534.167,,,,
24.56,548.75,,,,
24.6,509.167,,,,
24.64,520,,,,
24.68,526.667,,,,
24.72,519.167,,,,
24.76,515.833,,,,
24.8,495,,,,
24.84,498.333,,,,
24.88,505.417,,,,
24.92,504.583,,,,
24.96,509.167,,,,
25,495.833,,,,
25.04,507.083,,,,
25.08,494.583,,,,
25.12,504.583,,,,
25.16,470.417,,,,
25.2,496.25,,,,
25.24,486.667,,,,
25.28,511.25,,,,
25.32,499.583,,,,
25.36,525.417,,,,
25.4,508.333,,,,
25.44,472.083,,,,
25.48,502.083,,,,
25.52,514.583,,,,
25.56,503.75,,,,
25.6,493.333,,,,
25.64,518.75,,,,
25.68,512.083,,,,
25.72,518.333,,,,
25.76,494.167,,,,
25.8,513.333,,,,
25.84,516.667,,,,
25.88,535.833,,,,
25.92,549.167,,,,
25.96,556.667,,,,
26,548.75,,,,
26.04,567.083,,,,
26.08,591.667,,,,
26.12,583.75,,,,
26.16,627.083,,,,
26.2,615.833,,,,
26.24,644.583,,,,
26.28,694.583,,,,
26.32,718.333,,,,
26.36,772.5,,,,
26.4,874.167,,,,
26.44,964.167,,,,
26.48,1047.5,,,,
26.52,1174.17,,,,
26.56,1239.58,,,,
26.6,1163.75,,,,
26.64,1092.08,,,,
26.68,972.083,,,,
26.72,838.333,,,,
26.76,810.833,,,,
26.8,720,,,,
26.84,675,,,,
26.88,651.667,,,,
26.92,600.417,,,,
26.96,579.583,,,,
27,578.333,,,,
27.04,536.667,,,,
27.08,528.333,,,,
27.12,521.667,,,,
27.16,527.083,,,,
27.2,484.167,,,,
27.24,492.5,,,,
27.28,464.167,,,,
27.32,453.75,,,,
27.36,475,,,,
27.4,463.333,,,,
27.44,452.083,,,,
27.48,454.583,,,,
27.52,409.167,,,,
27.56,429.583,,,,
27.6,428.75,,,,
27.64,398.75,,,,
27.68,417.5,,,,
27.72,430,,,,
27.76,425.417,,,,
27.8,388.333,,,,
27.84,421.25,,,,
