2theta,intensity,,,,
14.8,164.583,,,,
14.84,162.5,,,,
14.88,155,,,,
14.92,165,,,,
14.96,148.75,,,,
15,172.5,,,,
15.04,155,,,,
15.08,178.75,,,,
15.12,161.667,,,,
15.16,158.75,,,,
15.2,169.167,,,,
15.24,172.5,,,,
15.28,187.083,,,,
15.32,172.5,,,,
15.36,159.167,,,,
15.4,171.667,,,,
15.44,185,,,,
15.48,173.75,,,,
15.52,170,,,,
15.56,168.75,,,,
15.6,170,,,,
15.64,167.5,,,,
15.68,165,,,,
15.72,174.167,,,,
15.76,173.333,,,,
15.8,169.583,,,,
15.84,176.25,,,,
15.88,189.167,,,,
15.92,171.25,,,,
15.96,184.167,,,,
16,179.167,,,,
16.04,171.25,,,,
16.08,202.083,,,,
16.12,181.25,,,,
16.16,176.667,,,,
16.2,193.333,,,,
16.24,207.917,,,,
16.28,170.417,,,,
16.32,185,,,,
16.36,183.75,,,,
16.4,201.667,,,,
16.44,201.25,,,,
16.48,186.667,,,,
16.52,182.5,,,,
16.56,197.917,,,,
16.6,203.333,,,,
16.64,187.5,,,,
16.68,184.167,,,,
16.72,194.167,,,,
16.76,207.083,,,,
16.8,211.25,,,,
16.84,207.917,,,,
16.88,232.917,,,,
16.92,232.5,,,,
16.96,221.25,,,,
17,205.417,,,,
17.04,215.417,,,,
17.08,244.167,,,,
17.12,216.25,,,,
17.16,236.667,,,,
17.2,250.417,,,,
17.24,250,,,,
17.28,247.083,,,,
17.32,237.917,,,,
17.36,247.5,,,,
17.4,247.083,,,,
17.44,250,,,,
17.48,277.083,,,,
17.52,271.667,,,,
17.56,310,,,,
17.6,282.917,,,,
17.64,277.917,,,,
17.68,277.917,,,,
17.72,321.667,,,,
17.76,297.083,,,,
17.8,280,,,,
17.84,292.083,,,,
17.88,285,,,,
17.92,287.5,,,,
17.96,302.083,,,,
18,314.167,,,,
18.04,298.75,,,,
18.08,293.75,,,,
18.12,310.833,,,,
18.16,287.5,,,,
18.2,311.667,,,,
18.24,301.667,,,,
18.28,292.917,,,,
18.32,293.333,,,,
18.36,270.833,,,,
18.4,287.083,,,,
18.44,286.667,,,,
18.48,297.5,,,,
18.52,292.5,,,,
18.56,291.25,,,,
18.6,266.667,,,,
18.64,269.583,,,,
18.68,286.25,,,,
18.72,285.833,,,,
18.76,283.333,,,,
18.8,280.833,,,,
18.84,297.5,,,,
18.88,273.75,,,,
18.92,288.75,,,,
18.96,277.917,,,,
19,289.583,,,,
19.04,274.167,,,,
19.08,270.417,,,,
19.12,272.083,,,,
19.16,281.667,,,,
19.2,271.667,,,,
19.24,262.083,,,,
19.28,289.583,,,,
19.32,279.167,,,,
19.36,260,,,,
19.4,264.583,,,,
19.44,275,,,,
19.48,267.083,,,,
19.52,278.333,,,,
19.56,261.25,,,,
19.6,278.75,,,,
19.64,287.5,,,,
19.68,289.167,,,,
19.72,281.667,,,,
19.76,309.167,,,,
19.8,273.333,,,,
19.84,267.5,,,,
19.88,312.083,,,,
19.92,296.25,,,,
19.96,287.917,,,,
20,302.5,,,,
20.04,298.333,,,,
20.08,288.333,,,,
20.12,285,,,,
20.16,298.333,,,,
20.2,307.917,,,,
20.24,312.917,,,,
20.28,303.333,,,,
20.32,309.167,,,,
20.36,308.333,,,,
20.4,307.5,,,,
20.44,291.667,,,,
20.48,296.25,,,,
20.52,314.167,,,,
20.56,335.417,,,,
20.6,321.667,,,,
20.64,302.083,,,,
20.68,314.167,,,,
20.72,335.833,,,,
20.76,347.917,,,,
20.8,311.667,,,,
20.84,308.333,,,,
20.88,317.917,,,,
20.92,319.583,,,,
20.96,334.167,,,,
21,342.5,,,,
21.04,362.5,,,,
21.08,344.167,,,,
21.12,325,,,,
21.16,338.333,,,,
21.2,341.667,,,,
21.24,326.25,,,,
21.28,318.75,,,,
21.32,349.583,,,,
21.36,335,,,,
21.4,356.667,,,,
21.44,357.083,,,,
21.48,373.333,,,,
21.52,344.583,,,,
21.56,365,,,,
21.6,350.833,,,,
21.64,352.083,,,,
21.68,372.917,,,,
21.72,371.667,,,,
21.76,362.917,,,,
21.8,389.583,,,,
21.84,372.083,,,,
21.88,362.083,,,,
21.92,376.25,,,,
21.96,369.167,,,,
22,378.333,,,,
22.04,364.583,,,,
22.08,375.417,,,,
22.12,370.417,,,,
22.16,359.583,,,,
22.2,377.917,,,,
22.24,362.083,,,,
22.28,381.667,,,,
22.32,386.667,,,,
22.36,362.5,,,,
22.4,385.833,,,,
22.44,366.25,,,,
22.48,370,,,,
22.52,374.583,,,,
22.56,387.5,,,,
22.6,376.25,,,,
22.64,393.333,,,,
22.68,396.25,,,,
22.72,391.667,,,,
22.76,378.333,,,,
22.8,398.333,,,,
22.84,400,,,,
22.88,386.667,,,,
22.92,386.667,,,,
22.96,390.833,,,,
23,394.583,,,,
23.04,400.417,,,,
23.08,399.583,,,,
23.12,404.167,,,,
23.16,395.417,,,,
23.2,404.167,,,,
23.24,380.417,,,,
23.28,372.083,,,,
23.32,400,,,,
23.36,385.417,,,,
23.4,395.417,,,,
23.44,378.75,,,,
23.48,400.833,,,,
23.52,387.5,,,,
23.56,406.667,,,,
23.6,399.167,,,,
23.64,405.833,,,,
23.68,378.333,,,,
23.72,391.667,,,,
23.76,410,,,,
23.8,404.167,,,,
23.84,387.917,,,,
23.88,405,,,,
23.92,411.667,,,,
23.96,393.333,,,,
24,400,,,,
24.04,388.333,,,,
24.08,402.917,,,,
24.12,410.417,,,,
24.16,424.167,,,,
24.2,409.583,,,,
24.24,426.667,,,,
24.28,418.333,,,,
24.32,440.833,,,,
24.36,411.25,,,,
24.4,435.417,,,,
24.44,434.167,,,,
24.48,422.083,,,,
24.52,431.667,,,,
24.56,416.667,,,,
24.6,423.333,,,,
24.64,418.75,,,,
24.68,441.25,,,,
24.72,421.667,,,,
24.76,415.417,,,,
24.8,420,,,,
24.84,425.833,,,,
24.88,454.167,,,,
24.92,406.25,,,,
24.96,446.25,,,,
25,434.167,,,,
25.04,415.417,,,,
25.08,423.333,,,,
25.12,425.417,,,,
25.16,423.75,,,,
25.2,427.917,,,,
25.24,430.833,,,,
25.28,417.5,,,,
25.32,425.417,,,,
25.36,413.333,,,,
25.4,440,,,,
25.44,434.583,,,,
25.48,451.667,,,,
25.52,420,,,,
25.56,419.583,,,,
25.6,452.5,,,,
25.64,451.667,,,,
25.68,462.917,,,,
25.72,442.917,,,,
25.76,434.583,,,,
25.8,448.75,,,,
25.84,467.917,,,,
25.88,455.833,,,,
25.92,477.083,,,,
25.96,467.5,,,,
26,482.5,,,,
26.04,506.25,,,,
26.08,481.667,,,,
26.12,496.25,,,,
26.16,519.167,,,,
26.2,538.75,,,,
26.24,591.667,,,,
26.28,600.417,,,,
26.32,616.667,,,,
26.36,701.25,,,,
26.4,789.167,,,,
26.44,872.5,,,,
26.48,962.083,,,,
26.52,1082.5,,,,
26.56,1149.17,,,,
26.6,1053.75,,,,
26.64,940,,,,
26.68,871.667,,,,
26.72,743.333,,,,
26.76,694.167,,,,
26.8,614.583,,,,
26.84,565.417,,,,
26.88,549.583,,,,
26.92,497.5,,,,
26.96,530.417,,,,
27,483.333,,,,
27.04,448.333,,,,
27.08,466.667,,,,
27.12,456.25,,,,
27.16,437.083,,,,
27.2,422.917,,,,
27.24,417.5,,,,
27.28,419.583,,,,
27.32,429.583,,,,
27.36,433.333,,,,
27.4,426.25,,,,
27.44,396.667,,,,
27.48,398.75,,,,
27.52,424.583,,,,
27.56,400,,,,
27.6,402.083,,,,
27.64,396.667,,,,
27.68,419.167,,,,
27.72,427.083,,,,
27.76,400.833,,,,
27.8,422.5,,,,
27.84,400.417,,,,
27.88,400.833,,,,
27.92,415.417,,,,
27.96,424.167,,,,
28,409.167,,,,
28.04,419.167,,,,
28.08,420.833,,,,
28.12,410,,,,
28.16,435,,,,
28.2,420.417,,,,
28.24,442.917,,,,
28.28,456.667,,,,
28.32,417.083,,,,
28.36,421.667,,,,
28.4,431.667,,,,
28.44,432.917,,,,
28.48,445,,,,
28.52,428.333,,,,
28.56,428.333,,,,
28.6,421.667,,,,
28.64,448.333,,,,
28.68,427.083,,,,
28.72,426.25,,,,
28.76,430.417,,,,
28.8,409.167,,,,
28.84,425,,,,
28.88,415.417,,,,
28.92,402.917,,,,
28.96,392.083,,,,
29,434.167,,,,
29.04,368.75,,,,
29.08,407.917,,,,
29.12,405,,,,
29.16,340.417,,,,
29.2,371.667,,,,
29.24,372.083,,,,
29.28,365.417,,,,
29.32,357.083,,,,
29.36,351.25,,,,
29.4,347.917,,,,
29.44,339.583,,,,
29.48,344.167,,,,
29.52,331.25,,,,
29.56,343.333,,,,
29.6,335,,,,
29.64,340.417,,,,
29.68,326.667,,,,
29.72,312.5,,,,
29.76,308.333,,,,
29.8,323.75,,,,
29.84,308.75,,,,
29.88,322.083,,,,
29.92,318.333,,,,
29.96,335.833,,,,
30,312.917,,,,
30.04,309.167,,,,
30.08,320.417,,,,
30.12,310,,,,
30.16,291.25,,,,
30.2,307.917,,,,
30.24,290.833,,,,
30.28,294.167,,,,
30.32,294.583,,,,
30.36,292.083,,,,
30.4,281.25,,,,
30.44,306.25,,,,
30.48,295.417,,,,
30.52,302.917,,,,
30.56,290.833,,,,
30.6,302.917,,,,
30.64,295.417,,,,
30.68,302.917,,,,
30.72,302.083,,,,
30.76,300.417,,,,
30.8,294.583,,,,
30.84,285,,,,
30.88,306.25,,,,
30.92,318.333,,,,
30.96,319.583,,,,
31,350.833,,,,
31.04,339.583,,,,
31.08,387.083,,,,
31.12,460.417,,,,
31.16,606.25,,,,
31.2,835.833,,,,
31.24,1054.58,,,,
31.28,1182.92,,,,
31.32,1230.42,,,,
31.36,1116.25,,,,
31.4,959.167,,,,
31.44,876.667,,,,
31.48,746.25,,,,
31.52,685,,,,
31.56,604.583,,,,
31.6,577.083,,,,
31.64,530,,,,
31.68,497.5,,,,
31.72,492.5,,,,
31.76,449.167,,,,
31.8,425,,,,
31.84,427.083,,,,
31.88,422.917,,,,
31.92,392.5,,,,
31.96,410.833,,,,
32,392.917,,,,
32.04,368.333,,,,
32.08,370,,,,
32.12,372.5,,,,
32.16,362.083,,,,
32.2,364.167,,,,
32.24,360,,,,
32.28,360,,,,
32.32,342.083,,,,
32.36,351.667,,,,
32.4,350.417,,,,
32.44,333.75,,,,
32.48,332.917,,,,
32.52,329.167,,,,
32.56,336.667,,,,
32.6,337.083,,,,
32.64,317.5,,,,
32.68,316.667,,,,
32.72,317.083,,,,
32.76,325.833,,,,
32.8,311.25,,,,
32.84,314.167,,,,
32.88,329.167,,,,
32.92,301.667,,,,
32.96,314.167,,,,
33,313.333,,,,
33.04,326.25,,,,
33.08,331.25,,,,
33.12,318.75,,,,
33.16,340.417,,,,
33.2,341.25,,,,
33.24,345.833,,,,
33.28,346.25,,,,
33.32,381.667,,,,
33.36,349.583,,,,
33.4,334.167,,,,
33.44,378.333,,,,
33.48,382.083,,,,
33.52,395,,,,
33.56,442.917,,,,
33.6,413.75,,,,
33.64,487.083,,,,
33.68,458.75,,,,
33.72,529.583,,,,
33.76,520,,,,
33.8,548.333,,,,
33.84,553.75,,,,
33.88,538.75,,,,
33.92,530,,,,
33.96,486.25,,,,
34,462.5,,,,
34.04,429.167,,,,
34.08,409.167,,,,
34.12,377.5,,,,
34.16,352.917,,,,
34.2,334.583,,,,
34.24,327.917,,,,
34.28,320.417,,,,
34.32,322.083,,,,
34.36,310.417,,,,
34.4,307.917,,,,
34.44,312.917,,,,
34.48,276.667,,,,
34.52,277.917,,,,
34.56,253.75,,,,
34.6,275.417,,,,
34.64,260.417,,,,
34.68,267.083,,,,
34.72,270.417,,,,
34.76,271.25,,,,
34.8,264.167,,,,
34.84,247.083,,,,
34.88,274.167,,,,
34.92,249.167,,,,
34.96,258.333,,,,
35,278.333,,,,
35.04,235.417,,,,
35.08,268.75,,,,
35.12,240,,,,
35.16,248.75,,,,
35.2,251.667,,,,
35.24,238.333,,,,
35.28,240.417,,,,
35.32,243.75,,,,
35.36,257.083,,,,
35.4,245.833,,,,
35.44,229.583,,,,
35.48,252.083,,,,
35.52,230,,,,
35.56,244.583,,,,
35.6,244.167,,,,
35.64,224.167,,,,
35.68,245.417,,,,
35.72,245.833,,,,
35.76,238.333,,,,
35.8,242.083,,,,
35.84,234.167,,,,
35.88,238.75,,,,
35.92,221.25,,,,
35.96,235,,,,
36,239.167,,,,
36.04,233.333,,,,
36.08,236.667,,,,
36.12,229.583,,,,
36.16,246.25,,,,
36.2,246.25,,,,
36.24,220.417,,,,
36.28,230.417,,,,
36.32,249.167,,,,
36.36,225.417,,,,
36.4,257.917,,,,
36.44,235.833,,,,
36.48,247.917,,,,
36.52,248.75,,,,
36.56,255,,,,
36.6,252.917,,,,
36.64,231.667,,,,
36.68,230.417,,,,
36.72,246.25,,,,
36.76,260,,,,
36.8,245.833,,,,
36.84,242.083,,,,
36.88,248.333,,,,
36.92,263.333,,,,
36.96,255,,,,
37,267.917,,,,
37.04,287.083,,,,
37.08,270,,,,
37.12,290,,,,
37.16,289.167,,,,
37.2,298.333,,,,
37.24,297.917,,,,
37.28,311.25,,,,
37.32,337.083,,,,
37.36,330.833,,,,
37.4,332.083,,,,
37.44,354.583,,,,
37.48,358.75,,,,
37.52,340.417,,,,
37.56,366.25,,,,
37.6,345.833,,,,
37.64,395.833,,,,
37.68,411.667,,,,
37.72,395.833,,,,
37.76,436.667,,,,
37.8,509.583,,,,
37.84,616.667,,,,
37.88,820,,,,
37.92,1035.83,,,,
37.96,1276.25,,,,
38,1277.92,,,,
38.04,1222.5,,,,
38.08,1087.08,,,,
38.12,851.25,,,,
38.16,677.5,,,,
38.2,510.833,,,,
38.24,419.167,,,,
38.28,375.417,,,,
38.32,333.75,,,,
38.36,287.5,,,,
38.4,295,,,,
38.44,270,,,,
38.48,262.917,,,,
38.52,245,,,,
38.56,245.417,,,,
38.6,234.167,,,,
38.64,248.333,,,,
38.68,229.583,,,,
38.72,208.75,,,,
38.76,201.667,,,,
38.8,224.583,,,,
38.84,222.083,,,,
38.88,217.083,,,,
38.92,218.333,,,,
38.96,197.083,,,,
39,222.5,,,,
39.04,200,,,,
39.08,214.167,,,,
39.12,204.583,,,,
39.16,201.667,,,,
39.2,220,,,,
39.24,212.5,,,,
39.28,196.667,,,,
39.32,194.167,,,,
39.36,175.417,,,,
39.4,187.917,,,,
39.44,217.917,,,,
39.48,208.333,,,,
39.52,207.083,,,,
39.56,211.25,,,,
39.6,210.833,,,,
39.64,180.417,,,,
39.68,196.667,,,,
39.72,187.917,,,,
39.76,202.917,,,,
39.8,192.5,,,,
39.84,220.833,,,,
39.88,220,,,,
39.92,209.167,,,,
39.96,199.583,,,,
40,205,,,,
40.04,202.083,,,,
40.08,208.75,,,,
40.12,191.25,,,,
40.16,195.833,,,,
40.2,208.333,,,,
40.24,217.5,,,,
40.28,217.917,,,,
40.32,200,,,,
40.36,210.417,,,,
40.4,209.167,,,,
40.44,214.167,,,,
40.48,210.417,,,,
40.52,207.083,,,,
40.56,210.417,,,,
40.6,212.083,,,,
40.64,219.583,,,,
40.68,224.583,,,,
40.72,225,,,,
40.76,199.583,,,,
40.8,211.667,,,,
40.84,213.333,,,,
40.88,206.25,,,,
40.92,219.167,,,,
40.96,223.75,,,,
41,218.333,,,,
41.04,225,,,,
41.08,229.583,,,,
41.12,195,,,,
41.16,205.417,,,,
41.2,215,,,,
41.24,240.417,,,,
41.28,216.667,,,,
41.32,219.167,,,,
41.36,230.833,,,,
41.4,239.167,,,,
41.44,218.333,,,,
41.48,214.167,,,,
41.52,225.417,,,,
41.56,217.5,,,,
41.6,213.75,,,,
41.64,218.333,,,,
41.68,225.833,,,,
41.72,243.333,,,,
41.76,222.083,,,,
41.8,228.75,,,,
41.84,212.083,,,,
41.88,237.5,,,,
41.92,243.75,,,,
41.96,228.333,,,,
42,224.167,,,,
42.04,231.25,,,,
42.08,235,,,,
42.12,234.167,,,,
42.16,224.167,,,,
42.2,218.333,,,,
42.24,232.917,,,,
42.28,227.917,,,,
42.32,241.25,,,,
42.36,212.5,,,,
42.4,239.167,,,,
42.44,220.833,,,,
42.48,225.417,,,,
42.52,225.417,,,,
42.56,218.75,,,,
42.6,217.083,,,,
42.64,235,,,,
42.68,211.25,,,,
42.72,220.833,,,,
42.76,230.417,,,,
42.8,198.333,,,,
42.84,221.25,,,,
42.88,212.5,,,,
42.92,209.583,,,,
42.96,240,,,,
43,197.917,,,,
43.04,217.083,,,,
43.08,205,,,,
43.12,199.167,,,,
43.16,212.5,,,,
43.2,215.417,,,,
43.24,195,,,,
43.28,185.417,,,,
43.32,197.917,,,,
43.36,197.083,,,,
43.4,216.25,,,,
43.44,205,,,,
43.48,208.75,,,,
43.52,202.083,,,,
43.56,199.583,,,,
43.6,214.167,,,,
43.64,216.25,,,,
43.68,211.25,,,,
43.72,214.583,,,,
43.76,210.417,,,,
43.8,199.167,,,,
43.84,215.417,,,,
43.88,187.917,,,,
43.92,199.583,,,,
43.96,212.083,,,,
44,193.333,,,,
44.04,201.25,,,,
44.08,210.833,,,,
44.12,190,,,,
44.16,209.583,,,,
44.2,205,,,,
44.24,203.333,,,,
44.28,222.083,,,,
44.32,200.833,,,,
44.36,191.667,,,,
44.4,226.25,,,,
44.44,214.583,,,,
44.48,210.833,,,,
44.52,214.167,,,,
44.56,206.667,,,,
44.6,220.833,,,,
44.64,212.083,,,,
44.68,207.083,,,,
44.72,209.583,,,,
44.76,210.833,,,,
44.8,207.083,,,,
44.84,204.583,,,,
44.88,225.417,,,,
44.92,194.583,,,,
44.96,214.167,,,,
45,214.583,,,,
45.04,206.25,,,,
45.08,211.667,,,,
45.12,202.5,,,,
45.16,184.167,,,,
45.2,212.083,,,,
45.24,217.083,,,,
45.28,213.75,,,,
45.32,215.417,,,,
45.36,210,,,,
45.4,214.167,,,,
45.44,214.583,,,,
45.48,213.75,,,,
45.52,203.333,,,,
45.56,198.333,,,,
45.6,217.083,,,,
45.64,218.333,,,,
45.68,205.417,,,,
45.72,213.333,,,,
45.76,216.25,,,,
45.8,217.083,,,,
45.84,220.417,,,,
45.88,218.333,,,,
45.92,208.75,,,,
45.96,205,,,,
46,202.5,,,,
46.04,211.25,,,,
46.08,217.083,,,,
46.12,202.5,,,,
46.16,203.333,,,,
46.2,220,,,,
46.24,208.333,,,,
46.28,221.25,,,,
46.32,231.667,,,,
46.36,209.167,,,,
46.4,216.667,,,,
46.44,212.5,,,,
46.48,220,,,,
46.52,213.75,,,,
46.56,211.667,,,,
46.6,197.083,,,,
46.64,196.667,,,,
46.68,209.583,,,,
46.72,208.75,,,,
46.76,203.333,,,,
46.8,210.833,,,,
46.84,199.167,,,,
46.88,189.583,,,,
46.92,224.583,,,,
46.96,209.167,,,,
47,229.583,,,,
47.04,200.833,,,,
47.08,211.667,,,,
47.12,214.583,,,,
47.16,208.333,,,,
47.2,219.167,,,,
47.24,201.25,,,,
47.28,225.833,,,,
47.32,216.667,,,,
47.36,208.333,,,,
47.4,217.083,,,,
47.44,204.583,,,,
47.48,222.5,,,,
47.52,209.583,,,,
47.56,205,,,,
47.6,182.917,,,,
47.64,210,,,,
47.68,200.417,,,,
47.72,213.75,,,,
47.76,214.167,,,,
47.8,198.75,,,,
47.84,190.833,,,,
47.88,192.083,,,,
47.92,200,,,,
47.96,201.667,,,,
48,219.167,,,,
48.04,198.75,,,,
48.08,180.833,,,,
48.12,197.083,,,,
48.16,205.417,,,,
48.2,210,,,,
48.24,204.167,,,,
48.28,183.75,,,,
48.32,196.25,,,,
48.36,213.333,,,,
48.4,209.167,,,,
48.44,198.75,,,,
48.48,206.667,,,,
48.52,222.083,,,,
48.56,184.583,,,,
48.6,203.333,,,,
48.64,207.083,,,,
48.68,205.833,,,,
