#Operator Name: 
#Experimental Name: 
#SampleDescription: 
#Measurement No.: 20
#Excitation Wavelength: 532.08 nm
#Laser Current: 100 %
#Excitation Power: 2.85 mW
#Excitation Power Density: 2.13E+03 W/cm2
#ND Filter: 5.72 % (155/255)
#Spectrograph Center Wavelength: 710.00 cm-1
#Grating: 1200 gr/mm
#Slit width: 50 um
#Exposure Time: 5 s
#Averaging: 8
#Readout speed: 2MHz
#Gain: High
#Readout port: Low Noise
#CCD temperature: -70
#Optical Line Shaping mode: ON
#Objective Lens: TU Plan Fluor 50x/ NA 0.80
#Measurement Mode: XY Averaging (AreaFlash)
#X axis (wavenumber): Not Calibrated
#Wavenumber Shift compensation (cm-1): -0.8186236055991
#XY Stage Position: (2223.5,-145.2,7.0)
#--------------------------------------
#

wn(9/28/2023 3:53:25 PM Index:20)	9/28/2023 3:53:25 PM Index:20	wn(9/28/2023 3:52:43 PM Index:19)	9/28/2023 3:52:43 PM Index:19	wn(9/28/2023 3:49:55 PM Index:15)	9/28/2023 3:49:55 PM Index:15	wn(9/28/2023 3:49:14 PM Index:14)	9/28/2023 3:49:14 PM Index:14	wn(9/28/2023 3:47:50 PM Index:12)	9/28/2023 3:47:50 PM Index:12	wn(9/28/2023 3:47:08 PM Index:11)	9/28/2023 3:47:08 PM Index:11	wn(9/28/2023 3:46:26 PM Index:10)	9/28/2023 3:46:26 PM Index:10	wn(9/28/2023 3:45:44 PM Index:9)	9/28/2023 3:45:44 PM Index:9	wn(9/28/2023 3:45:03 PM Index:8)	9/28/2023 3:45:03 PM Index:8	wn(9/28/2023 3:44:21 PM Index:7)	9/28/2023 3:44:21 PM Index:7	wn(9/28/2023 3:43:39 PM Index:6)	9/28/2023 3:43:39 PM Index:6	wn(9/28/2023 3:42:57 PM Index:5)	9/28/2023 3:42:57 PM Index:5	wn(9/28/2023 3:42:15 PM Index:4)	9/28/2023 3:42:15 PM Index:4	wn(9/28/2023 3:41:33 PM Index:3)	9/28/2023 3:41:33 PM Index:3	wn(9/28/2023 3:40:52 PM Index:2)	9/28/2023 3:40:52 PM Index:2	wn(9/28/2023 3:40:10 PM Index:1)	9/28/2023 3:40:10 PM Index:1	wn(0CV_r)	0CV_r	
96.4958167253935	2736.625	96.4958167253935	2451.125	96.4958167253935	2690.375	96.4958167253935	2763.375	96.4958167253935	2639	96.4958167253935	2714.25	96.4958167253935	2694.5	96.4958167253935	2723.25	96.4958167253935	2476.75	96.4958167253935	2709	96.4958167253935	2600.75	96.4958167253935	2700.125	96.4958167253935	2779.375	96.4958167253935	2737.875	96.4958167253935	2762.25	96.4958167253935	2759.25	96.4958167253935	2658.4375
97.4417224559802	2779.75	97.4417224559802	2484.125	97.4417224559802	2783	97.4417224559802	2807.625	97.4417224559802	2689.375	97.4417224559802	2720.75	97.4417224559802	2766.25	97.4417224559802	2802.75	97.4417224559802	2571.625	97.4417224559802	2765.375	97.4417224559802	2675	97.4417224559802	2786.125	97.4417224559802	2793.875	97.4417224559802	2783.25	97.4417224559802	2880.75	97.4417224559802	2833	97.4417224559802	2719.625
98.385545590907	2809.375	98.385545590907	2490.125	98.385545590907	2769.375	98.385545590907	2796.75	98.385545590907	2687.75	98.385545590907	2744.5	98.385545590907	2734.375	98.385545590907	2770.75	98.385545590907	2592.375	98.385545590907	2747.375	98.385545590907	2689.625	98.385545590907	2764.125	98.385545590907	2825.25	98.385545590907	2815.375	98.385545590907	3032.125	98.385545590907	2850.25	98.385545590907	2731.9609375
99.3292734418428	2753.375	99.3292734418428	2516	99.3292734418428	2765.5	99.3292734418428	2741.125	99.3292734418428	2685	99.3292734418428	2708.625	99.3292734418428	2717.125	99.3292734418428	2771.25	99.3292734418428	2505.25	99.3292734418428	2677	99.3292734418428	2639.75	99.3292734418428	2708.375	99.3292734418428	2794.875	99.3292734418428	2762.5	99.3292734418428	2938.25	99.3292734418428	2751.75	99.3292734418428	2684.6875
100.272906023216	2717.125	100.272906023216	2434.25	100.272906023216	2753	100.272906023216	2740.75	100.272906023216	2648.875	100.272906023216	2653.625	100.272906023216	2689.625	100.272906023216	2731.125	100.272906023216	2500.875	100.272906023216	2662	100.272906023216	2582.875	100.272906023216	2677.125	100.272906023216	2776.375	100.272906023216	2747	100.272906023216	2872.75	100.272906023216	2799.625	100.272906023216	2661.6015625
101.216443349451	2720.375	101.216443349451	2450.375	101.216443349451	2735.75	101.216443349451	2769.625	101.216443349451	2631.75	101.216443349451	2688	101.216443349451	2675.25	101.216443349451	2762.375	101.216443349451	2512.375	101.216443349451	2717.25	101.216443349451	2624.5	101.216443349451	2703.125	101.216443349451	2750.375	101.216443349451	2766.5	101.216443349451	2760.875	101.216443349451	2800.125	101.216443349451	2665.7421875
102.159885434972	2746.875	102.159885434972	2461.5	102.159885434972	2771.125	102.159885434972	2784	102.159885434972	2664.5	102.159885434972	2727.875	102.159885434972	2743.5	102.159885434972	2782.375	102.159885434972	2515.875	102.159885434972	2715.75	102.159885434972	2629.625	102.159885434972	2754.125	102.159885434972	2792.25	102.159885434972	2788.125	102.159885434972	2828.5	102.159885434972	2796.625	102.159885434972	2693.6640625
103.105218187146	2836.125	103.105218187146	2533.875	103.105218187146	2810.375	103.105218187146	2825.625	103.105218187146	2745	103.105218187146	2760.75	103.105218187146	2810.375	103.105218187146	2814	103.105218187146	2597.75	103.105218187146	2786	103.105218187146	2691.875	103.105218187146	2798.5	103.105218187146	2842.5	103.105218187146	2850.375	103.105218187146	2875	103.105218187146	2871.25	103.105218187146	2751.5
104.048469634065	2925.125	104.048469634065	2639.875	104.048469634065	2928.25	104.048469634065	2962.125	104.048469634065	2839.875	104.048469634065	2914.5	104.048469634065	2875.5	104.048469634065	2940.375	104.048469634065	2709.5	104.048469634065	2895.375	104.048469634065	2821	104.048469634065	2926	104.048469634065	2971.75	104.048469634065	2968.875	104.048469634065	2978.75	104.048469634065	3022.875	104.048469634065	2871.3984375
104.991625883551	3054.125	104.991625883551	2731.625	104.991625883551	3032.875	104.991625883551	3058.625	104.991625883551	2911.875	104.991625883551	3004.875	104.991625883551	2998.5	104.991625883551	3030.25	104.991625883551	2790.625	104.991625883551	2973.125	104.991625883551	2932.375	104.991625883551	3035.5	104.991625883551	3085.375	104.991625883551	3074.125	104.991625883551	3059.375	104.991625883551	3097.625	104.991625883551	2967.6484375
