0,0.15031633,
1,0.14878263,
2,0.14780614,
3,0.14632991,
4,0.14531438,
5,0.14628868,
6,0.14630562,
7,0.14486322,
8,0.14483415,
9,0.14630388,
10,0.14579894,
11,0.14481725,
12,0.14528444,
13,0.14533997,
14,0.14732549,
15,0.14727603,
16,0.14481419,
17,0.14580762,
18,0.14725564,
19,0.14580067,
20,0.14778315,
21,0.14631689,
22,0.14532001,
23,0.1458753,
24,0.14732896,
25,0.14580414,
26,0.14729816,
27,0.14478123,
28,0.14726475,
29,0.14624532,
30,0.14727515,
31,0.14726476,
32,0.14629132,
33,0.14730382,
34,0.14532866,
