0,0.14331099,
1,0.14181025,
2,0.14031737,
3,0.13929638,
4,0.13930057,
5,0.13930628,
6,0.13884304,
7,0.13781402,
8,0.13780704,
9,0.13883299,
10,0.13828439,
11,0.13786089,
12,0.13781165,
13,0.13784982,
14,0.13880008,
15,0.13883911,
16,0.13786209,
17,0.13780005,
18,0.13881713,
19,0.13780007,
20,0.13833143,
21,0.13783514,
22,0.13780499,
23,0.13777195,
24,0.13781402,
25,0.13781452,
26,0.13779102,
27,0.13731775,
28,0.13726765,
29,0.1377525,
30,0.13774516,
31,0.13778828,
32,0.13729236,
33,0.13782577,
34,0.1373537,0.25819328,
