mode,ox/red,error,control changes,counter inc.,time/s,control/V,Ewe/V,<I>/mA,cycle number,(Q-Qo)/C,I Range,P/W,log(|I|),Tafel slope mV/dec,alpha_eff,dI/d(E-IR),E-IR/V,
2,1,0,1,0,6.818353998418321E+004,2.4406487E-005,-2.1079961E-004,3.088617324829102E+001,3.500000000000000E+001,0.0000000E+000,10,-6.5107934E-006,-1.510235896816787, , , ,-0.00021079961,
2,1,0,1,0,6.818354108418291E+004,1.3228378E-003,8.8672107E-004,3.153018759439392E+001,3.500000000000000E+001,3.4625387E-005,10,2.7958482E-005,-1.501273445333042, , , ,0.00088672107,
2,1,0,1,0,6.818354308418254E+004,3.3204241E-003,2.9460308E-003,3.223879569189421E+001,3.500000000000000E+001,9.8477751E-005,10,9.4976487E-005,-1.4916211900100533, , , ,0.0029460308,
2,1,0,1,0,6.818354508418171E+004,5.3180112E-003,4.9300510E-003,3.278214581807447E+001,3.500000000000000E+001,1.6355536E-004,10,1.6161765E-004,-1.4843626222588682, , , ,0.004930051,
2,1,0,1,0,6.818354708418157E+004,7.3155975E-003,6.9829980E-003,3.328075700956913E+001,3.500000000000000E+001,2.2966933E-004,10,2.3239946E-004,-1.4778068037352945, , , ,0.006982998,
2,1,0,1,0,6.818354908418143E+004,9.3131848E-003,8.9914082E-003,3.375089160435698E+001,3.500000000000000E+001,2.9674961E-004,10,3.0346806E-004,-1.4717147498333234,0.3162233701923506,0.18657697552243468,243.56961587150775,0.0089914082,
2,1,0,1,0,6.818355108418060E+004,1.1310770E-002,1.0941495E-002,3.419844759214271E+001,3.500000000000000E+001,3.6474419E-004,10,3.7418216E-004,-1.465993607904925,0.3483708661518673,0.1693597419661373,224.76598815864185,0.010941495,
2,1,0,1,0,6.818355308418011E+004,1.3308357E-002,1.2931879E-002,3.461837014969863E+001,3.500000000000000E+001,4.3360257E-004,10,4.4768056E-004,-1.4606933827822475,0.36581362111061533,0.1612843169176565,217.1301445193868,0.012931879,
2,1,0,1,0,6.818355508417997E+004,1.5305944E-002,1.4960436E-002,3.504266932110011E+001,3.500000000000000E+001,5.0330738E-004,10,5.2425364E-004,-1.4554028195339161,0.38377406902668987,0.15373628590809452,209.5924873021825,0.014960436,
2,1,0,1,0,6.818355708417972E+004,1.7303528E-002,1.6967785E-002,3.544704615862918E+001,3.500000000000000E+001,5.7383929E-004,10,6.0145784E-004,-1.450419949210291,0.40145130481762575,0.14696676606096212,202.729321325543,0.016967785,
2,1,0,1,0,6.818355908417888E+004,1.9301116E-002,1.8953927E-002,3.583682629962818E+001,3.500000000000000E+001,6.4516085E-004,10,6.7924859E-004,-1.4456704583176345,0.4201334564377296,0.14043156786478092,195.91251928767363,0.018953927,
2,1,0,1,0,6.818356108417816E+004,2.1340320E-002,2.0983545E-002,3.626784329033558E+001,3.500000000000000E+001,7.1730459E-004,10,7.6102791E-004,-1.4404782694803648,0.4353260911598368,0.13553058545791877,191.10969574316795,0.020983545,
2,1,0,1,0,6.818356308417814E+004,2.3346230E-002,2.3005743E-002,3.663900398752774E+001,3.500000000000000E+001,7.9025229E-004,10,8.4290747E-004,-1.4360563409157607,0.4532876424618564,0.13016017749692962,185.44899540025057,0.023005743,
2,1,0,1,0,6.818356508417777E+004,2.5343819E-002,2.4966432E-002,3.698949733749038E+001,3.500000000000000E+001,8.6391583E-004,10,9.2349574E-004,-1.4319215704158166,0.4689874680413403,0.1258029350899399,181.05161848601387,0.024966432,
2,1,0,1,0,6.818356708417716E+004,2.7341403E-002,2.6980145E-002,3.734061991961596E+001,3.500000000000000E+001,9.3827961E-004,10,1.0074553E-003,-1.427818476278917,0.4850100087961447,0.12164697414481271,176.7753097623261,0.026980145,
2,1,0,1,0,6.818356908417656E+004,2.9338991E-002,2.8990678E-002,3.768736234058932E+001,3.500000000000000E+001,1.0133425E-003,10,1.0925822E-003,-1.4238042568462976,0.5095091828127204,0.11579771668548425,169.97581453511458,0.028990678,
2,1,0,1,0,6.818357108417654E+004,3.1336576E-002,3.0975757E-002,3.801269451156264E+001,3.500000000000000E+001,1.0890756E-003,10,1.1774719E-003,-1.4200713445503517,0.5221191422521834,0.11300102835820376,167.3899989132516,0.030975757,
2,1,0,1,0,6.818357308417605E+004,3.3334170E-002,3.2966141E-002,3.834357440554461E+001,3.500000000000000E+001,1.1654655E-003,10,1.2640397E-003,-1.4163074044405664,0.5363335644579517,0.1100061676349282,164.38154456705908,0.032966141,
2,1,0,1,0,6.818357508417522E+004,3.5331748E-002,3.4980908E-002,3.867000083045809E+001,3.500000000000000E+001,1.2425138E-003,10,1.3527117E-003,-1.4126258186002378,0.5520783777608634,0.10686888379743112,161.059246896367,0.034980908,
2,1,0,1,0,6.818357708417485E+004,3.7329338E-002,3.6989320E-002,3.898843793322635E+001,3.500000000000000E+001,1.3202068E-003,10,1.4421558E-003,-1.4090641644162698,0.5656619589300835,0.1043025769517806,158.50677411966788,0.03698932,
2,1,0,1,0,6.818357908417494E+004,3.9326925E-002,3.8930923E-002,3.930471985042107E+001,3.500000000000000E+001,1.3985313E-003,10,1.5301690E-003,-1.405555294868481,0.5790466160429116,0.1018916238612949,156.072305231308,0.038930923,
2,1,0,1,0,6.818358108417457E+004,4.1324507E-002,4.0958419E-002,3.961828486124671E+001,3.500000000000000E+001,1.4774867E-003,10,1.6227023E-003,-1.4021043296914506,0.593550469976104,0.0994018250922711,153.44953035834712,0.040958419,
2,1,0,1,0,6.818358308417373E+004,4.3322098E-002,4.2999707E-002,3.992071851094562E+001,3.500000000000000E+001,1.5570578E-003,10,1.7165792E-003,-1.398801650688006,0.6099341894689829,0.09673174748798097,150.47336189970983,0.042999707,
2,1,0,1,0,6.818358508417319E+004,4.5319680E-002,4.4961456E-002,4.021883884155068E+001,3.500000000000000E+001,1.6372269E-003,10,1.8082976E-003,-1.3955704720780806,0.6227637346142163,0.09473897839691765,148.49508799362326,0.044961456,
2,1,0,1,0,6.818358708417311E+004,4.7317274E-002,4.6982594E-002,4.051091846161444E+001,3.500000000000000E+001,1.7179860E-003,10,1.9033080E-003,-1.3924279104009778,0.6400920559217812,0.09217424189874614,145.54671298819417,0.046982594,
2,1,0,1,0,6.818358908417262E+004,4.9314849E-002,4.8927374E-002,4.079281811333476E+001,3.500000000000000E+001,1.7993191E-003,10,1.9958855E-003,-1.389416291035092,0.6558321321116615,0.08996204533320228,143.08038170378123,0.048927374,
