36,0.12761056,
37,0.12415685,
38,0.12564676,0.12414414,
39,0.1241463,0.1231601,
40,0.12313997,
41,0.12211352,0.12112413,
42,0.12115169,0.1196406,
43,0.11910508,0.11766723,
44,0.11962577,0.11861835,0.015261625,
45,0.11764818,
46,0.11966816,0.11862045,
47,0.11763648,0.020289054,
48,0.11860774,0.11712535,
49,0.11710414,0.014738821,
50,0.11611056,
51,0.11610416,
52,0.11713283,
53,0.11564817,0.10967069,
54,0.11558671,
55,0.11608721,0.11110013,
56,0.11661531,0.11567685,0.11064198,0.10912348,
57,0.11315628,0.10962297,
58,0.11560369,
59,0.11065153,
60,0.1156069,0.11415625,0.10917018,0.10763361,
61,0.10963462,0.10615539,0.10467613,
62,0.11063877,0.10560292,0.01524888,
63,0.10810444,0.10661557,
64,0.11312444,0.10412894,0.10311732,
65,0.11112661,
66,0.10908959,0.10562304,0.019692043,0.018190492,
67,0.10909808,0.10310775,
68,0.10909592,0.10561777,0.1045722,
69,0.10513956,
70,0.1066294,0.10220324,0.074713275,0.014780155,
71,
