#Operator Name: 
#Experimental Name: 
#SampleDescription: 
#Measurement No.: 20
#Excitation Wavelength: 532.08 nm
#Laser Current: 100 %
#Excitation Power: 2.85 mW
#Excitation Power Density: 2.13E+03 W/cm2
#ND Filter: 5.72 % (155/255)
#Spectrograph Center Wavelength: 710.00 cm-1
#Grating: 1200 gr/mm
#Slit width: 50 um
#Exposure Time: 5 s
#Averaging: 8
#Readout speed: 2MHz
#Gain: High
#Readout port: Low Noise
#CCD temperature: -70
#Optical Line Shaping mode: ON
#Objective Lens: TU Plan Fluor 50x/ NA 0.80
#Measurement Mode: XY Averaging (AreaFlash)
#X axis (wavenumber): Not Calibrated
#Wavenumber Shift compensation (cm-1): -0.8186236055991
#XY Stage Position: (2223.5,-145.2,7.0)
#--------------------------------------
#--------------------------------------
#Average: 9/28/2023 3:53:25 PM Index:20, 9/28/2023 3:51:19 PM Index:17, 9/28/2023 3:49:55 PM Index:15, 9/28/2023 3:49:14 PM Index:14, 9/28/2023 3:47:50 PM Index:12, 9/28/2023 3:47:08 PM Index:11, 9/28/2023 3:46:26 PM Index:10, 9/28/2023 3:45:44 PM Index:9, 9/28/2023 3:45:03 PM Index:8, 9/28/2023 3:44:21 PM Index:7, 9/28/2023 3:43:39 PM Index:6, 9/28/2023 3:42:57 PM Index:5, 9/28/2023 3:42:15 PM Index:4, 9/28/2023 3:41:33 PM Index:3, 9/28/2023 3:40:52 PM Index:2, 9/28/2023 3:40:10 PM Index:1
#

wn(N_0CV)	N_0CV	wn(N_15CV)	N_15CV	wn(N_30CV)	N_30CV	wn(N_45CV)	N_45CV	wn(N_60CV)	N_60CV	
96.4958167253935	0.189290269605751	96.4958167253935	0.181977061843809	96.4938294277345	0.17738612652288	96.4958167253935	0.184906002753771	96.4938294277345	0.175039980159078
97.4417224559802	0.198322488980738	97.4397353593849	0.189582598249488	97.4377482623713	0.191761541198304	97.4417224559802	0.194858075376804	97.4397353593849	0.189457404606229
98.385545590907	0.200143463750032	98.385545590907	0.188357687964135	98.3835586949244	0.19570035674106	98.385545590907	0.193661423549765	98.3835586949244	0.193509819267454
99.3292734418428	0.193165174751303	99.3292734418428	0.18155931787366	99.3272867464439	0.190537948210045	99.3292734418428	0.185747092050235	99.3272867464439	0.18943049769595
100.272906023216	0.18975733406526	100.272906023216	0.180309626166349	100.270919528368	0.184274546381146	100.272906023216	0.181220413212704	100.270919528368	0.182404284516009
101.216443349451	0.190368554222147	101.216443349451	0.181235979320493	101.214457055128	0.18411228208506	101.216443349451	0.184945237239903	101.214457055128	0.182868721184746
102.159885434972	0.194490253921612	102.159885434972	0.185254109880825	102.157899341139	0.188018644768599	102.159885434972	0.188211508210429	102.157899341139	0.184976819111861
103.105218187146	0.203027730943193	103.103232294197	0.196397489287935	103.101246400827	0.192939459792109	103.103232294197	0.199524527071182	103.103232294197	0.189966296170211
104.048469634065	0.220726590844614	104.046483941547	0.216417338026856	104.044498248608	0.207763204707828	104.048469634065	0.217687641995123	104.046483941547	0.203277027698909
104.991625883551	0.234934576378301	104.991625883551	0.228288819212446	104.989640391432	0.225584632249007	104.991625883551	0.230766212731836	104.989640391432	0.222086127849939
105.934686950011	0.227847882295143	105.934686950011	0.217941985511129	105.932701658265	0.230701366385569	105.934686950011	0.222703525831618	105.932701658265	0.226935221028569
106.877652847856	0.210069448448769	106.877652847856	0.200423880322253	106.875667756449	0.216586776541631	106.877652847856	0.203216247000707	106.875667756449	0.2140760576463
107.820523591494	0.198283278631051	107.820523591494	0.187312147971051	107.818538700398	0.200026202678923	107.820523591494	0.190223501702409	107.818538700398	0.197503740645462
108.763299195325	0.19709197594791	108.763299195325	0.186597026937406	108.761314504503	0.191964672057848	108.763299195325	0.187440305342388	108.761314504503	0.188530871000083
109.703995183176	0.196882085252526	109.703995183176	0.185288331844481	109.702010692185	0.190049953364039	109.703995183176	0.187246585067109	109.702010692185	0.187530635857085
110.646580750803	0.195981400455301	110.646580750803	0.18676459655255	110.644596460032	0.191012721520813	110.646580750803	0.18922915269449	110.644596460032	0.186442660789262
111.589071221784	0.197207300505814	111.589071221784	0.194877562074512	111.5870871312	0.191433406732887	111.589071221784	0.1920724268614	111.5870871312	0.188007941048129
112.531466610504	0.205938522784673	112.531466610504	0.197625939776424	112.529482720078	0.196908324278585	112.531466610504	0.199411727923552	112.529482720078	0.194556849037025
113.473766931354	0.215012259000505	113.473766931354	0.203947562511137	113.471783241057	0.2050299527871	113.473766931354	0.207422919560721	113.471783241057	0.200998129384803
114.415972198723	0.217474438311741	114.415972198723	0.207814644404296	114.413988708522	0.210939979037857	114.415972198723	0.210969962322633	114.413988708522	0.208450173666558
115.358082426985	0.220963006188316	115.358082426985	0.210487497772622	115.35609913685	0.213371539563641	115.358082426985	0.215483154305556	115.35609913685	0.212702635356382
116.300097630523	0.2232960219947	116.300097630523	0.211992084105786	116.298114540426	0.214547054241949	116.300097630523	0.216173436045948	116.298114540426	0.213920465512945
117.242017823712	0.22377231241884	117.242017823712	0.210624385627247	117.24003493362	0.215625210342606	117.242017823712	0.214315928343115	117.24003493362	0.215479896443491
118.183843020925	0.224235917141612	118.183843020925	0.213205193714015	118.181860330813	0.21531510524342	118.183843020925	0.21601772417911	118.181860330813	0.213246622890294
119.125573236535	0.232676521534555	119.125573236535	0.220200635112443	119.123590746367	0.218404136657788	119.125573236535	0.225400896753224	119.123590746367	0.217565766922984
120.067208484907	0.248809273939648	120.067208484907	0.238403179574444	120.063243903984	0.231423742992586	120.067208484907	0.241845050753486	120.065226194656	0.227302558847168
