mode,ox/red,error,control changes,counter inc.,time/s,control/V,Ewe/V,<I>/mA,cycle number,(Q-Qo)/C,I Range,P/W,log(|I|),Tafel slope mV/dec,alpha_eff,E-IR/V,
2,0,0,1,0,1.590429761139312E+003,2.4406487E-005,-2.8714890E-004,-3.620845377445221E-001,2.000000000000000E+000,0.0000000E+000,11,1.0397218E-007,-3.4411900206555384, , ,0.00000251873019561764,
2,0,0,1,0,1.590704461132373E+003,2.9911907E-004,-6.1239814E-005,-2.144303690268510E-001,2.000000000000000E+000,-5.5809789E-005,11,1.3131676E-008,-3.66871370700737, , ,0.00011030448122148082,
2,0,0,1,0,1.591203861119757E+003,7.9851580E-004,4.8273604E-004,-1.858027512458111E-001,2.000000000000000E+000,-1.4383950E-004,11,-8.9693685E-008,-3.730947859545672, , ,0.0006313782409966489,
2,0,0,1,0,1.591703261107141E+003,1.2979124E-003,9.8747527E-004,-1.688590057045739E-001,2.000000000000000E+000,-2.2108867E-004,11,-1.6674409E-007,-3.772475772319036, , ,0.0011225624745636591,
2,0,0,1,0,1.592202661094525E+003,1.7973311E-003,1.4742487E-003,-1.570013083483039E-001,2.000000000000000E+000,-2.9113085E-004,11,-2.3145898E-007,-3.804096728443752, , ,0.0015998497466786432,
2,0,0,1,0,1.592702061081909E+003,2.2967276E-003,1.9790006E-003,-1.437311158145547E-001,2.000000000000000E+000,-3.5437226E-004,11,-2.8444396E-007,-3.8424492028906894,-0.015448978983284239,-3.8190226075029208,0.002093985492651644,
2,0,0,1,0,1.593201461069293E+003,2.7961242E-003,2.5367714E-003,-1.379384705084674E-001,2.000000000000000E+000,-4.1299552E-004,11,-3.4991837E-007,-3.8603145938713297,-0.01857355495059502,-3.1765593693257888,0.0026471221764067738,
2,0,0,1,0,1.593700861056677E+003,3.2955210E-003,3.0065728E-003,-1.308071727846527E-001,2.000000000000000E+000,-4.6889958E-004,11,-3.9328128E-007,-3.8833684409094196,-0.021447840591371645,-2.750859684388711,0.003111218538227722,
2,0,0,1,0,1.594200261044061E+003,3.7949181E-003,3.5250820E-003,-1.249555000899201E-001,2.000000000000000E+000,-5.2151544E-004,11,-4.4047837E-007,-3.9032446230418816,-0.023231887158087123,-2.5396128863109526,0.0036250464000719363,
2,0,0,1,0,1.594699661031445E+003,4.2943144E-003,3.9905887E-003,-1.185710337350572E-001,2.000000000000000E+000,-5.7124050E-004,11,-4.7316823E-007,-3.92602139381746,-0.02656944598749874,-2.220595793670679,0.004085445526988045,
2,0,0,1,0,1.595199061018830E+003,4.7937110E-003,4.4497424E-003,-1.144307370438038E-001,2.000000000000000E+000,-6.1839062E-004,11,-5.0918732E-007,-3.9414573047778103,-0.026876697135993877,-2.1952102113390217,0.004541286989635043,
2,0,0,1,0,1.595698361006216E+003,5.2930191E-003,5.0159195E-003,-1.101259811728664E-001,2.000000000000000E+000,-6.6329323E-004,11,-5.5238303E-007,-3.9581102091945297,-0.029142653787160768,-2.0245239308299827,0.005104020284938293,
2,0,0,1,0,1.596197760993600E+003,5.7924157E-003,5.4920283E-003,-1.058575827437337E-001,2.000000000000000E+000,-7.0620439E-004,11,-5.8137283E-007,-3.975278027339308,-0.030144713843299656,-1.9572254129429754,0.005576714366194987,
2,0,0,1,0,1.596697160980984E+003,6.2918118E-003,6.0052890E-003,-1.016900252669535E-001,2.000000000000000E+000,-7.4695202E-004,11,-6.1067800E-007,-3.9927216447564517,-0.0327866857316444,-1.7995109503567648,0.006086641020213562,
2,0,0,1,0,1.597196560968368E+003,6.7912084E-003,6.4729238E-003,-9.871895755372573E-002,2.000000000000000E+000,-7.8584527E-004,11,-6.3900029E-007,-4.00559943932233,-0.0330230497955454,-1.7866308643594366,0.00655189896604298,
2,0,0,1,0,1.597695960955753E+003,7.2906055E-003,7.0211622E-003,-9.546523737241430E-002,2.000000000000000E+000,-8.2311238E-004,11,-6.7027690E-007,-4.02015474324083,-0.03399548503750229,-1.7355245831884396,0.007097534389897932,
2,0,0,1,0,1.598195360943137E+003,7.7900020E-003,7.5015207E-003,-9.240756220235036E-002,2.000000000000000E+000,-8.5875142E-004,11,-6.9319725E-007,-4.034292486698017,-0.03532057316957763,-1.6704145687765328,0.007575446749761881,
2,0,0,1,0,1.598694760930521E+003,8.2894200E-003,7.9702213E-003,-8.980509290621796E-002,2.000000000000000E+000,-8.9309068E-004,11,-7.1576648E-007,-4.046699033506981,-0.03753945188130853,-1.5716798472855968,0.008042065374324975,
2,0,0,1,0,1.599194160917905E+003,8.7888176E-003,8.4739383E-003,-8.656801715398066E-002,2.000000000000000E+000,-9.2600589E-004,11,-7.3357205E-007,-4.062642529911922,-0.03817148488766532,-1.5456564022497634,0.008543192713723185,
2,0,0,1,0,1.599693560905289E+003,9.2882132E-003,9.0253344E-003,-8.405502416622967E-002,2.000000000000000E+000,-9.5752464E-004,11,-7.5862471E-007,-4.075436322647381,-0.03841079079354855,-1.5360266940900782,0.009092578419332984,
2,0,0,1,0,1.600192960892673E+003,9.7876107E-003,9.4696274E-003,-8.178112272404392E-002,2.000000000000000E+000,-9.8783663E-004,11,-7.7443678E-007,-4.0873469315719735,-0.04107068405247843,-1.4365477800324005,0.009535052298179235,
2,0,0,1,0,1.600692360880057E+003,1.0287007E-002,1.0018939E-002,-7.958500539050251E-002,2.000000000000000E+000,-1.0170923E-003,11,-7.9735730E-007,-4.099168749970806,-0.04148853292717128,-1.4220796889484677,0.010082607004312402,
2,0,0,1,0,1.601191760867441E+003,1.0786404E-002,1.0457906E-002,-7.770413953405514E-002,2.000000000000000E+000,-1.0452518E-003,11,-8.1262260E-007,-4.109555844404872,-0.04325799999860713,-1.3639095659045666,0.010520069311627243,
2,0,0,1,0,1.601691160854825E+003,1.1285822E-002,1.1016821E-002,-7.520433194853005E-002,2.000000000000000E+000,-1.0724162E-003,11,-8.2851273E-007,-4.123757142291914,-0.04255163479269755,-1.3865507233138128,0.011076984465558824,
2,0,0,1,0,1.602190560842209E+003,1.1785219E-002,1.1478093E-002,-7.400198725489537E-002,2.000000000000000E+000,-1.0987278E-003,11,-8.4940166E-007,-4.130756617535958,-0.04425859453521001,-1.3330744145764148,0.011537294589803916,
2,0,0,1,0,1.602689960829593E+003,1.2284617E-002,1.1986012E-002,-7.192055625008775E-002,2.000000000000000E+000,-1.1241949E-003,11,-8.6204062E-007,-4.143146962328645,-0.04735712188098273,-1.2458527388610732,0.012043548445000071,
2,0,0,1,0,1.603189360816978E+003,1.2784012E-002,1.2465306E-002,-7.004773545767984E-002,2.000000000000000E+000,-1.1485621E-003,11,-8.7316641E-007,-4.154605900265869,-0.046033211407165146,-1.2816833368009721,0.012521344188366144,
2,0,0,1,0,1.603688760804362E+003,1.3283408E-002,1.2974322E-002,-6.793009680102702E-002,2.000000000000000E+000,-1.1719677E-003,11,-8.8134692E-007,-4.167937766535109,-0.04721630461612452,-1.2495683531288322,0.013028666077440822,
2,0,0,1,0,1.604188160791746E+003,1.3782806E-002,1.3493961E-002,-6.637488988688239E-002,2.000000000000000E+000,-1.1946001E-003,11,-8.9566015E-007,-4.17799618638594,-0.04595813842216826,-1.2837769767354392,0.013547060911909506,
2,0,0,1,0,1.604687460779132E+003,1.4282114E-002,1.3982639E-002,-6.567018438517411E-002,2.000000000000000E+000,-1.2165696E-003,11,-9.1824245E-007,-4.182631764322254,-0.048778487894461396,-1.209549589311874,0.01403517514750814,
2,0,0,1,0,1.605186860766516E+003,1.4781510E-002,1.4498025E-002,-6.352216801151855E-002,2.000000000000000E+000,-1.2376597E-003,11,-9.2094598E-007,-4.197074687857859,-0.048847832582987014,-1.2078325051529275,0.014548842734409215,
2,0,0,1,0,1.605686260753901E+003,1.5280907E-002,1.4991055E-002,-6.198634325209251E-002,2.000000000000000E+000,-1.2579516E-003,11,-9.2924068E-007,-4.207703983139964,-0.057531778404816096,-1.0255201844249089,0.015040644074601674,
2,0,0,1,0,1.606185660741285E+003,1.5780304E-002,1.5485275E-002,-6.057384309174352E-002,2.000000000000000E+000,-1.2774728E-003,11,-9.3800259E-007,-4.217714871761977,-0.050676803717670534,-1.1642407506341454,0.015533734074473395,
2,0,0,1,0,1.606685060728669E+003,1.6279701E-002,1.5973030E-002,-5.960980788386765E-002,2.000000000000000E+000,-1.2964383E-003,11,-9.5214921E-007,-4.224682277853639,-0.05300311297351156,-1.1131421663758767,0.016020717846307094,
2,0,0,1,0,1.607184460716053E+003,1.6779097E-002,1.6499002E-002,-5.794494389625504E-002,2.000000000000000E+000,-1.3148440E-003,11,-9.5603377E-007,-4.236984453294082,-0.05588127671142676,-1.0558098073649687,0.016545357955117003,
2,0,0,1,0,1.607683860703437E+003,1.7278494E-002,1.6999546E-002,-5.784120008286597E-002,2.000000000000000E+000,-1.3325459E-003,11,-9.8327416E-007,-4.23776270492584,-0.05721362847269818,-1.0312228323039196,0.017045818960066295,
2,0,0,1,0,1.608183260690821E+003,1.7777910E-002,1.7455496E-002,-5.546302098986211E-002,2.000000000000000E+000,-1.3495736E-003,11,-9.6813449E-007,-4.255996478726873,-0.05381049889069499,-1.0964403084209722,0.017499866416791892,
2,0,0,1,0,1.608682660678205E+003,1.8277308E-002,1.7962381E-002,-5.526373627184028E-002,2.000000000000000E+000,-1.3662615E-003,11,-9.9266833E-007,-4.25755975663648,-0.05836338308976687,-1.0109078137100784,0.01800659198901747,
2,0,0,1,0,1.609182060665589E+003,1.8776705E-002,1.8461889E-002,-5.396701969556239E-002,2.000000000000000E+000,-1.3823876E-003,11,-9.9633314E-007,-4.267871564990379,-0.05590276564860641,-1.055403955698045,0.01850506261575645,
2,0,0,1,0,1.609681460652973E+003,1.9276101E-002,1.8984610E-002,-5.279875957175195E-002,2.000000000000000E+000,-1.3977602E-003,11,-1.0023639E-006,-4.277376280448601,-0.05057564551033407,-1.1665693913475526,0.0190268490076574,
2,0,0,1,0,1.610180860640357E+003,1.9775499E-002,1.9515919E-002,-5.099447540915347E-002,2.000000000000000E+000,-1.4124484E-003,11,-9.9520400E-007,-4.292476871535029,-0.0590570579036643,-0.9990338512332027,0.019556714580327324,
2,0,0,1,0,1.610680260627742E+003,2.0274896E-002,1.9954911E-002,-5.095779715984450E-002,2.000000000000000E+000,-1.4268173E-003,11,-1.0168583E-006,-4.2927893542598685,-0.04904038270739431,-1.2030901217070635,0.019995677237727875,
