波長 (nm),0 mV,50 mV,100 mV,150 mV,200 mV,300 mV,400 mV,500 mV,600 mV,700 mV,800 mV,100-0,200-100,300-200,400-300,500-400,600-500,700-600,800-700,800 - 500,500 - 300,Raw data name,Mod column name
328,-0.006,0.002,-0.002,0.005,0.02,0.014,0.009,0.023,0.032,0.02,0.029,0.004,0.022,-0.006,-0.005,0.014,0.009,-0.012,0.009,0.006,0.009,,
329,0.008,0.011,0.013,0.011,0.012,0.011,0.007,0.023,0.028,0.021,0.01,0.005,-0.001,-0.001,-0.004,0.016,0.005,-0.007,-0.011,-0.014,0.013,,
330,-0.001,0.012,0.009,0.014,0.013,0.021,0.04,0.028,0.036,0.022,0.025,0.01,0.004,0.008,0.019,-0.012,0.008,-0.014,0.003,-0.003,0.007,,
331,0.013,0.007,0.006,0.015,0.026,0.021,0.02,0.028,0.036,0.029,0.03,-0.007,0.02,-0.005,-0.001,0.008,0.008,-0.007,0.001,0.002,0.007,,
332,0.011,0.004,0.009,0.019,0.033,0.024,0.024,0.026,0.026,0.034,0.038,-0.002,0.024,-0.009,0,0.002,0,0.008,0.004,0.012,0.002,,
333,0.012,0.019,0.026,0.026,0.022,0.026,0.03,0.042,0.025,0.033,0.036,0.014,-0.004,0.004,0.004,0.012,-0.017,0.008,0.003,-0.005,0.015,,
334,-0.002,-0.002,0.003,0.004,0.01,0.004,0.017,0.012,0.014,0.021,0.027,0.005,0.007,-0.006,0.013,-0.005,0.002,0.007,0.006,0.014,0.009,,
335,0.011,0.01,0.016,0.011,0.016,0.019,0.029,0.017,0.03,0.045,0.021,0.005,0,0.003,0.01,-0.012,0.013,0.015,-0.024,0.005,-0.002,,
336,-0.008,0.003,0.002,0.006,0.007,0.007,0.024,0.018,0.011,0.021,0.029,0.01,0.005,0,0.017,-0.006,-0.007,0.01,0.008,0.011,0.011,,
337,0.002,0.002,-0.004,0.025,0.017,0.016,0.031,0.026,0.024,0.035,0.032,-0.006,0.021,-0.001,0.015,-0.005,-0.002,0.011,-0.003,0.006,0.01,,
338,0,0.011,0.013,0.012,0.015,0.021,0.029,0.016,0.03,0.025,0.026,0.013,0.002,0.006,0.008,-0.013,0.014,-0.005,0.001,0.01,-0.004,,
339,0.01,0.017,0.013,0.017,0.025,0.032,0.027,0.034,0.039,0.045,0.034,0.003,0.012,0.007,-0.005,0.007,0.005,0.006,-0.011,0,0.002,,
340,-0.005,-0.004,-0.002,0.004,0.022,0.019,0.018,0.027,0.02,0.017,0.022,0.003,0.024,-0.003,-0.001,0.009,-0.007,-0.003,0.005,-0.005,0.008,,
341,-0.01,0.002,0.003,0.009,0.016,0.017,0.021,0.029,0.028,0.031,0.029,0.013,0.013,0.001,0.004,0.008,-0.001,0.003,-0.002,0,0.012,,
342,-0.003,0.001,0.007,-0.006,0.007,0.011,0.015,0.016,0.024,0.027,0.025,0.01,0,0.004,0.004,0.001,0.008,0.003,-0.002,0.009,0.005,,
343,-0.003,0.007,0.001,0.005,0.015,0.017,0.017,0.014,0.016,0.022,0.031,0.004,0.014,0.002,0,-0.003,0.002,0.006,0.009,0.017,-0.003,,
344,0.005,0.003,0.013,0.011,0.005,0.007,0.022,0.019,0.028,0.023,0.031,0.008,-0.008,0.002,0.015,-0.003,0.009,-0.005,0.008,0.012,0.012,,
345,-0.001,-0.001,0,0.007,0.005,0.014,0.023,0.016,0.031,0.032,0.025,0.001,0.005,0.009,0.009,-0.007,0.015,0.001,-0.007,0.01,0.002,,
346,0,0.005,0.003,0.022,0.012,0.018,0.026,0.028,0.032,0.038,0.026,0.003,0.009,0.006,0.008,0.002,0.004,0.006,-0.012,-0.002,0.01,,
347,-0.001,0.002,0.008,0.014,0.017,0.024,0.022,0.028,0.026,0.028,0.026,0.009,0.009,0.007,-0.002,0.006,-0.002,0.002,-0.002,-0.002,0.004,,
348,-0.003,-0.001,0.005,0.008,0.013,0.013,0.019,0.022,0.022,0.026,0.022,0.008,0.008,0,0.006,0.003,0,0.004,-0.004,0,0.009,,
349,0.003,0.015,0.023,0.026,0.024,0.024,0.034,0.042,0.036,0.039,0.039,0.02,0.001,0,0.01,0.008,-0.006,0.003,0,-0.003,0.018,,
350,-0.002,0.01,0.005,0.013,0.027,0.022,0.022,0.031,0.025,0.031,0.03,0.007,0.022,-0.005,0,0.009,-0.006,0.006,-0.001,-0.001,0.009,,
351,-0.003,0.003,0.007,0.008,0.02,0.018,0.022,0.031,0.028,0.024,0.03,0.01,0.013,-0.002,0.004,0.009,-0.003,-0.004,0.006,0,0.012,,
352,-0.001,0.001,0.011,0.009,0.019,0.014,0.021,0.028,0.027,0.03,0.026,0.012,0.008,-0.005,0.007,0.007,-0.001,0.003,-0.004,-0.003,0.014,,
353,0.002,0.006,0.013,0.013,0.029,0.032,0.032,0.031,0.036,0.034,0.033,0.011,0.016,0.003,0,-0.001,0.005,-0.002,-0.001,0.003,-0.001,,
354,0.006,0.004,0.011,0.011,0.018,0.015,0.023,0.027,0.033,0.035,0.038,0.005,0.007,-0.003,0.008,0.004,0.006,0.002,0.003,0.011,0.012,,
355,0.015,0.01,0.015,0.02,0.034,0.028,0.031,0.03,0.034,0.04,0.036,0,0.019,-0.006,0.003,-0.001,0.004,0.006,-0.004,0.006,0.003,,
356,0.01,0.01,0.011,0.021,0.028,0.031,0.034,0.028,0.039,0.04,0.038,0.001,0.017,0.003,0.003,-0.006,0.011,0.001,-0.002,0.01,-0.003,,
357,0,0.005,0.008,0.015,0.02,0.027,0.029,0.033,0.036,0.024,0.034,0.008,0.012,0.007,0.002,0.004,0.003,-0.012,0.01,0.001,0.006,,
358,0.005,0.005,0.006,0.015,0.011,0.024,0.018,0.028,0.02,0.026,0.036,0.001,0.005,0.013,-0.006,0.01,-0.008,0.006,0.01,0.008,0.004,,
359,0.009,0.009,0.007,0.006,0.018,0.018,0.03,0.028,0.033,0.032,0.035,-0.002,0.011,0,0.012,-0.002,0.005,-0.001,0.003,0.007,0.009,,
360,0.004,0.003,0.016,0.014,0.012,0.015,0.027,0.034,0.04,0.032,0.031,0.012,-0.004,0.003,0.012,0.007,0.006,-0.008,-0.001,-0.003,0.019,,
361,-0.006,0.004,0.005,0.018,0.015,0.019,0.021,0.022,0.033,0.034,0.035,0.011,0.01,0.004,0.002,0.001,0.011,0.001,0.001,0.013,0.003,,
362,0.002,0.002,0.009,0.011,0.019,0.024,0.029,0.027,0.037,0.038,0.028,0.007,0.01,0.005,0.005,-0.002,0.01,0.001,-0.01,0.001,0.003,,
363,-0.002,0.007,0.007,0.016,0.019,0.027,0.025,0.039,0.033,0.037,0.032,0.009,0.012,0.008,-0.002,0.014,-0.006,0.004,-0.005,-0.007,0.012,,
364,-0.009,0.003,0.004,0.003,0.007,0.02,0.026,0.026,0.02,0.029,0.028,0.013,0.003,0.013,0.006,0,-0.006,0.009,-0.001,0.002,0.005,,
365,0.001,0,0.005,0.013,0.02,0.03,0.033,0.035,0.03,0.036,0.041,0.004,0.015,0.01,0.003,0.002,-0.005,0.006,0.005,0.007,0.004,,
366,0.004,0.005,0.007,0.016,0.028,0.026,0.031,0.029,0.036,0.04,0.034,0.003,0.021,-0.002,0.005,-0.002,0.007,0.004,-0.006,0.005,0.002,,
367,-0.006,0.005,0.011,0.009,0.017,0.019,0.029,0.03,0.039,0.039,0.035,0.017,0.006,0.002,0.01,0.001,0.009,0,-0.004,0.005,0.01,,
368,0,0.012,0.011,0.014,0.015,0.025,0.028,0.032,0.033,0.035,0.036,0.011,0.004,0.01,0.003,0.004,0.001,0.002,0.001,0.004,0.007,,
369,0,0.001,0.008,0.013,0.014,0.022,0.03,0.034,0.037,0.03,0.032,0.008,0.006,0.008,0.008,0.004,0.003,-0.007,0.002,-0.002,0.012,,
370,0.01,0.006,0.006,0.011,0.025,0.017,0.026,0.031,0.036,0.038,0.034,-0.004,0.019,-0.008,0.009,0.005,0.005,0.002,-0.004,0.003,0.014,,
371,0.006,0.018,0.018,0.014,0.027,0.022,0.033,0.036,0.048,0.041,0.046,0.012,0.009,-0.005,0.011,0.003,0.012,-0.007,0.005,0.01,0.015,,
372,-0.005,0.004,0.009,0.009,0.012,0.015,0.03,0.03,0.03,0.032,0.035,0.014,0.003,0.003,0.015,0,0,0.002,0.003,0.006,0.015,,
373,-0.003,0.004,0.01,0.006,0.023,0.019,0.029,0.026,0.028,0.034,0.03,0.013,0.013,-0.004,0.01,-0.003,0.002,0.006,-0.004,0.004,0.007,,
374,-0.002,0.006,0.012,0.014,0.022,0.018,0.029,0.029,0.032,0.034,0.035,0.014,0.01,-0.004,0.011,0,0.003,0.002,0.001,0.005,0.012,,
375,-0.005,-0.001,0.003,0.011,0.014,0.019,0.023,0.028,0.029,0.038,0.029,0.008,0.011,0.005,0.004,0.005,0.001,0.009,-0.009,0.001,0.009,,
376,0.002,0.009,0.013,0.018,0.024,0.03,0.035,0.032,0.039,0.037,0.045,0.011,0.011,0.006,0.005,-0.003,0.007,-0.002,0.008,0.013,0.002,,
377,-0.001,0.008,0.01,0.017,0.022,0.028,0.031,0.032,0.034,0.041,0.038,0.011,0.012,0.006,0.003,0.001,0.002,0.007,-0.003,0.007,0.003,,
378,-0.005,0.004,0.001,0.011,0.016,0.02,0.032,0.033,0.036,0.034,0.036,0.006,0.015,0.004,0.012,0.001,0.003,-0.002,0.002,0.003,0.013,,
379,-0.001,0.009,0.006,0.014,0.025,0.028,0.033,0.036,0.042,0.035,0.039,0.007,0.019,0.003,0.005,0.003,0.006,-0.007,0.004,0.002,0.008,,
380,-0.004,0,0.001,0.015,0.02,0.025,0.021,0.033,0.034,0.036,0.035,0.005,0.019,0.005,-0.004,0.012,0.001,0.002,-0.001,0.002,0.009,,
