波長 (nm),0 mV,50 mV,100 mV,150 mV,200 mV,300 mV,400 mV,500 mV,600 mV,700 mV,800 mV,100-0,200-100,300-200,400-300,500-400,600-500,700-600,800-700,800 - 500,500 - 300,Raw data name,Mod column name,
300,-0.0027087717785060726,-0.019418794203898464,-0.01244456184233212,-0.01845696049680859,-0.004138131792306256,-0.015167371053993397,-0.0017436389511814772,0.011550866827669586,-0.0007530834914609381,-0.0007722097636707803,-0.005310160427807397,-0.009735790063826055,0.008306430050025867,-0.01102923926168713,0.013423732102811923,0.013294505778851051,-0.012303950319130575,-1.9126272209811084e-05,-0.004537950664136635,-0.01673231844057276,0.026944540279454938,20221215_1-140_006_0mV.spc - RawData,0 mV,
301,-0.00017452992927372533,-0.013035880627910907,-0.008465930653786355,-0.010912519406589546,0.00011719423839925101,-0.009085173365533866,0.005514813696739813,0.0147426901845783,0.005140158702777428,0.0029555157840262846,-0.000492107986889697,-0.008291400724512638,0.00858312489218561,-0.009202367603933101,0.014599987062273678,0.009227876487838477,-0.009602531481800923,-0.0021846429187511165,-0.003447623770915997,-0.01507846731067797,0.023960712437467686,20221215_1-140_007_300mV.spc - RawData,300 mV,
302,0.0019282595635079034,-0.007633399112501648,-0.004965122417659495,-0.004362013199455089,0.0038241249933081258,-0.0037373292071404187,0.011762884934538156,0.017461583131584156,0.010235837650865888,0.006270115933925442,0.0038259288395306144,-0.006893381981167406,0.008789247410967623,-0.007561454200448526,0.01550021414167857,0.005698698197045991,-0.007225745480718317,-0.003965721716940422,-0.0024441870943948426,-0.013459864049776062,0.02125055245578868,20221215_1-140_008_100mV.spc - RawData,100 mV,
303,0.003629246399743045,-0.0031436563501929804,-0.001915455675646707,0.0012537266600441514,0.007015223391409381,0.0009189354779225913,0.017061516658438122,0.019738263846341468,0.014585058859219768,0.009195126194880858,0.007669781634971763,-0.005544702075389758,0.00893067906705609,-0.006096287913486768,0.016142581180515515,0.002676747187903346,-0.005153204987121749,-0.005389932664338891,-0.0015253445599091057,-0.011880795952722283,0.018801413335078194,20221215_1-140_009_50mV.spc - RawData,50 mV,
304,0.004958080279335929,0.0005010409664928106,0.0007097510305568398,0.005993868707357547,0.009723052351692033,0.004926394746390816,0.021471650764664264,0.021603450506504557,0.018238927834254397,0.011754082075746691,0.011065281982951985,-0.004248329248779097,0.009013301321135194,-0.004796657605301192,0.016545256018273433,0.00013179974184029247,-0.0033645226722502034,-0.00648484575850769,-0.0006888000927947201,-0.010345550314371878,0.016600648075996493,20221215_1-140_010_200mV.spc - RawData,200 mV,
305,0.005944410902190788,0.0033683861450334238,0.0029371791592559746,0.009917581477934458,0.011980174793145091,0.008327822654999898,0.025054229149441148,0.023087861289727733,0.021248550082385104,0.01397051908537711,0.014038261466989497,-0.003007231742934822,0.009042995633889118,-0.003652352138145164,0.016726406494441234,-0.001966367859713415,-0.0018393112073426723,-0.00727803099700798,6.774238161237796e-05,-0.008858414429580092,0.014635609679203852,20221215_1-140_011_150mV.spc - RawData,150 mV,
306,0.006617887968211852,0.005526072492906573,0.004793510168755524,0.013084033507224271,0.013819153634757563,0.011165993260485488,0.02787019370899334,0.024222214373665313,0.02366503111002721,0.015867972732626277,0.016614551670602544,-0.0018243777994563348,0.009025643466002042,-0.002653160374272049,0.01670420044850783,-0.003647979335328025,-0.0005571832636381401,-0.007797058377400927,0.0007465789379762552,-0.007423675593202176,0.012893651145360537,20221215_1-140_012_400mV.spc - RawData,400 mV,
307,0.007008161177303351,0.007041793317589969,0.006305425517360325,0.015552393330676345,0.015272551795518476,0.013483680619583239,0.029980486339545403,0.02503722793597161,0.025539476423596053,0.01746997852634835,0.018819984177309332,-0.0007027356599430355,0.008967126278158153,-0.0017888711759352117,0.016496805719962142,-0.004943258403573781,0.0005022484876244012,-0.008069497897247696,0.001350005650960974,-0.006045621100093369,0.01136212547512682,20221215_1-140_013_500mV.spc - RawData,500 mV,
308,0.007144880229369519,0.007983241926561312,0.007499606663375201,0.01738182948374005,0.01637293219441683,0.015323658789028782,0.03144604893732189,0.02556362015430095,0.02692299152950695,0.0188000719753975,0.020680390570628114,0.00035472643400567654,0.00887332553104163,-0.0010492734053880182,0.016122390148293083,-0.005882428783020935,0.0013593713752059668,-0.008122919554109449,0.0018803185952306033,-0.004728538245108922,0.010028385669162972,20221215_1-140_014_600mV.spc - RawData,600 mV,
309,0.007057694824314583,0.008418111627298316,0.008402735065104989,0.01863151050186477,0.017152857750441643,0.01672870182555778,0.032327823398547374,0.025832109206307633,0.027866681934175234,0.019881788588627887,0.0222216024340771,0.0013450402407904002,0.00875012268533666,-0.0004241559248838317,0.015599121572989566,-0.006495714192239734,0.0020345727278675684,-0.007984893345547351,0.002339813845449207,-0.0034767143231040788,0.008879784728129263,20221215_1-140_016_700mV.spc - RawData,700 mV,
310,0.006776254662042779,0.008414095727278685,0.009041492180854517,0.019360604920499853,0.017644891382581927,0.017741583785905873,0.03268675161944642,0.025873413269645987,0.02842165314401623,0.02073866387489367,0.02346945135117453,0.002265237518811733,0.00860339920172742,9.669240332397903e-05,0.014945167833540508,-0.00681333834980042,0.002548239874370216,-0.007682989269122564,0.00273078747628085,-0.0022944366289340858,0.007903675652685956,20221215_1-140_017_800mV.spc - RawData,800 mV,
