mode,ox/red,error,control changes,counter inc.,time/s,control/V,Ewe/V,<I>/mA,cycle number,(Q-Qo)/C,I Range,P/W,log(|I|),Tafel slope mV/dec,alpha_eff,E-IR/V,
2,0,0,1,0,5.836389959706529E+004,2.4406487E-005,-3.0623621E-004,-4.087909683585167E-002,8.800000000000000E+001,0.0000000E+000,10,1.2518660E-008,-4.388498707871847, , ,-0.0002882494073922253,
2,0,0,1,0,5.836395459706546E+004,2.9907463E-004,-1.0794019E-004,4.838472068681954E-002,8.800000000000000E+001,2.7207755E-006,10,-5.2226561E-009,-4.3152917616826905, , ,-0.0001292294671022006,
2,1,0,1,0,5.836405449706566E+004,7.9858251E-004,3.5654861E-004,1.214686783211539E-001,8.800000000000000E+001,1.2769581E-005,10,4.3309488E-008,-3.915535693966378, , ,0.0003031023915386923,
2,1,0,0,0,5.836415439706575E+004,1.2978679E-003,9.1535220E-004,1.518709184946838E-001,8.800000000000000E+001,2.7829490E-005,10,1.3901538E-007,-3.8185253804917214, , ,0.0008485289958623391,
2,1,0,1,0,5.836425429706601E+004,1.7977095E-003,1.3749780E-003,1.689689451587088E-001,8.800000000000000E+001,4.5184905E-005,10,2.3232857E-007,-3.7721931071349517, , ,0.0013006316641301682,
2,1,0,1,0,5.836435409706621E+004,2.2964387E-003,1.9541441E-003,1.869784129595868E-001,8.800000000000000E+001,6.4291518E-005,10,3.6538276E-007,-3.7282085307560164,0.006370777874533119,9.261035490791429,0.001871873598297782,
2,1,0,0,0,5.836445399706648E+004,2.7960578E-003,2.4773309E-003,1.929538593006632E-001,8.800000000000000E+001,8.4651867E-005,10,4.7801058E-007,-3.714546530613081,0.0176250688220845,3.3475046591632047,0.0023924312019077084,
2,1,0,1,0,5.836455389706651E+004,3.2955657E-003,2.9937865E-003,1.955693878320544E-001,8.800000000000000E+001,1.0531967E-004,10,5.8549301E-007,-3.708699123659166,0.028662635268226076,2.0584290121224256,0.0029077359693538965,
2,1,0,1,0,5.836465379706677E+004,3.7948508E-003,3.4592671E-003,1.987915265339382E-001,8.800000000000000E+001,1.2632081E-004,10,6.8767298E-007,-3.7016021312967613,0.042467642231866526,1.3892930452288696,0.003371798828325067,
2,1,0,1,0,5.836475369706698E+004,4.2946930E-003,3.9263233E-003,2.028998096986143E-001,8.800000000000000E+001,1.4765588E-004,10,7.9665023E-007,-3.692718360294798,0.06664049953798865,0.8853475050313337,0.00383704738373261,
2,1,0,1,0,5.836485349706700E+004,4.7934223E-003,4.4728839E-003,2.069570207098992E-001,8.800000000000000E+001,1.6934199E-004,10,9.2569474E-007,-3.684119836217315,0.0749612699782904,0.7870731114492462,0.004381822810887645,
2,1,0,1,0,5.836495339706726E+004,5.2930410E-003,4.9226279E-003,2.091240950825588E-001,8.800000000000000E+001,1.9134852E-004,10,1.0294401E-006,-3.679595925295546,0.07629701309690007,0.7732937058108393,0.0048306132981636735,
