2theta,intensity,,,,
14.84,153.75,,,,
14.88,175.417,,,,
14.92,158.333,,,,
14.96,164.583,,,,
15,160.417,,,,
15.04,163.75,,,,
15.08,161.25,,,,
15.12,167.917,,,,
15.16,165.833,,,,
15.2,170.833,,,,
15.24,166.667,,,,
15.28,162.083,,,,
15.32,165.833,,,,
15.36,158.333,,,,
15.4,161.25,,,,
15.44,162.083,,,,
15.48,154.167,,,,
15.52,177.5,,,,
15.56,161.25,,,,
15.6,164.167,,,,
15.64,160.417,,,,
15.68,165,,,,
15.72,155,,,,
15.76,170.833,,,,
15.8,155.833,,,,
15.84,157.5,,,,
15.88,169.583,,,,
15.92,164.167,,,,
15.96,168.333,,,,
16,180.417,,,,
16.04,170,,,,
16.08,151.25,,,,
16.12,176.667,,,,
16.16,191.25,,,,
16.2,169.583,,,,
16.24,183.75,,,,
16.28,178.333,,,,
16.32,177.083,,,,
16.36,179.167,,,,
16.4,158.75,,,,
16.44,183.75,,,,
16.48,192.917,,,,
16.52,197.917,,,,
16.56,172.083,,,,
16.6,187.083,,,,
16.64,180.417,,,,
16.68,196.667,,,,
16.72,194.583,,,,
16.76,187.083,,,,
16.8,201.25,,,,
16.84,192.083,,,,
16.88,212.917,,,,
16.92,217.917,,,,
16.96,222.083,,,,
17,222.5,,,,
17.04,232.083,,,,
17.08,240.833,,,,
17.12,244.167,,,,
17.16,232.5,,,,
17.2,244.167,,,,
17.24,247.083,,,,
17.28,245.417,,,,
17.32,255.833,,,,
17.36,270,,,,
17.4,248.333,,,,
17.44,291.667,,,,
17.48,295.833,,,,
17.52,300.417,,,,
17.56,313.333,,,,
17.6,316.25,,,,
17.64,303.75,,,,
17.68,334.583,,,,
17.72,299.167,,,,
17.76,306.667,,,,
17.8,315.417,,,,
17.84,317.917,,,,
17.88,320.417,,,,
17.92,297.917,,,,
17.96,341.25,,,,
18,333.333,,,,
18.04,306.25,,,,
18.08,312.083,,,,
18.12,333.75,,,,
18.16,339.583,,,,
18.2,325,,,,
18.24,315,,,,
18.28,320,,,,
18.32,302.083,,,,
18.36,313.75,,,,
18.4,321.25,,,,
18.44,319.583,,,,
18.48,289.167,,,,
18.52,280.833,,,,
18.56,286.25,,,,
18.6,277.917,,,,
18.64,300,,,,
18.68,282.5,,,,
18.72,256.25,,,,
18.76,282.5,,,,
18.8,282.5,,,,
18.84,281.667,,,,
18.88,274.583,,,,
18.92,278.75,,,,
18.96,252.917,,,,
19,264.583,,,,
19.04,252.917,,,,
19.08,259.167,,,,
19.12,254.167,,,,
19.16,275,,,,
19.2,280.417,,,,
19.24,255,,,,
19.28,252.917,,,,
19.32,256.667,,,,
19.36,245.833,,,,
19.4,262.917,,,,
19.44,274.167,,,,
19.48,258.333,,,,
19.52,258.333,,,,
19.56,265.833,,,,
19.6,266.25,,,,
19.64,277.5,,,,
19.68,251.25,,,,
19.72,267.083,,,,
19.76,270.833,,,,
19.8,260.833,,,,
19.84,269.167,,,,
19.88,272.917,,,,
19.92,277.917,,,,
19.96,266.25,,,,
20,270.833,,,,
20.04,270.417,,,,
20.08,272.083,,,,
20.12,272.5,,,,
20.16,245,,,,
20.2,285.833,,,,
20.24,277.5,,,,
20.28,271.25,,,,
20.32,291.25,,,,
20.36,291.25,,,,
